"","1","2","3","4"
"sps_compABAM",0,0,0,0.000117382875455525
"sps_compOTHR",0,0,0,0
"sps_compPSME",-0.000757433691394902,-0.000270742248976119,-0.000376443455010031,0
"sps_compTHPL",0,0,0,0
"sps_compTSHE",0,0.000112868158668256,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00843951399271075,0,-0.00693872759713704,-0.00554259054771298
"ABAM_density",0,0,0.00148124039075733,0.000168776689336879
"PSME_density",0,-0.0056463554629264,-7.13711318571112e-05,0
"THPL_density",0,-0.00604713487294004,0,0
"TSHE_density",0.000216886726829095,0.00250441064398917,-0.000781954230962843,0
"pet_mm",0.00438136912498511,0.00111625658521189,0,0.000590086591304683
"OTHR_density",0.00139479409828521,0.00334859606027863,0.00327246106766694,0.00368530725537564
