"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,9.92804790363342,2.56338611389659,2.25943560849691,3.43343235020392,0.929612753298017,0.0447088135274769,2.26542279483491,2.46467701412201,0.183496048315249,0.0604900485670094,0.62006118184099,85.4031841863293
15,2,1,3,2,1,1,1,0.5,0.5,5,16.919182745903,2.77363707764682,2.03844587275936,3.82495625946036,2.89120537115265,0.0282344781167403,1.83962068923537,1.39780902070332,0.778811632574356,0.0580657577814159,0.583804594645731,80.3896162253382
20,2,1,3,2,1,1,1,0.5,0.5,5,16.6842545335614,2.64848883736648,2.3971143308057,3.35259709922109,1.86265505962002,0.0958610744781571,1.34105174015488,1.45104588958982,0.773793908804934,0.0528574621854041,0.616739092018903,82.8155163726498
25,2,1,3,2,1,1,1,0.5,0.5,5,18.1046059815327,2.77175468408959,3.95923074175245,3.37816132001749,0.936482482868667,0.0474866889279284,1.94930984214681,1.1775675084934,0.475003893689674,0.0348292714892556,0.590946909281251,81.012245574992
10,2,1,3,2,1,1,1,0.5,0.5,5,11.0802929926894,2.88321781913439,1.63234389372944,3.72569145564422,1.78816423676002,4.77817759469917,1.39617093896098,3.1576995373907,0.0139922394061373,0.00161252970613172,0.687383827229479,89.6198490432584
15,2,1,3,2,1,1,1,0.5,0.5,5,14.2482173464816,2.89999006853005,1.91485370669978,3.46470677556104,2.57445997684383,0.0407594429601773,1.80033736157282,1.58616449745713,0.639236306063995,0.0521067796140799,0.610894072041385,81.0106444917588
20,2,1,3,2,1,1,1,0.5,0.5,5,23.804051452323,2.83562406707943,2.53648677550446,4.18694558881392,2.20097443492699,0.155172845822104,0.874193396995353,1.54610976728068,0.62226739003135,0.133108385809161,0.638731912021197,88.2614782097163
25,2,1,3,2,1,1,1,0.5,0.5,5,22.0848394292318,2.92507638998533,3.33999168184519,2.95323566804599,1.66833433251027,0.0679668861602433,1.8497168985886,1.0511645044028,0.42093614304067,0.0333313464244351,0.580319089878918,81.9638179795025
10,2,1,3,2,1,1,1,0.5,0.5,5,9.73341638773619,2.47004011786716,1.98472667671108,3.37813055459114,1.74469203272069,0.0559088924701768,1.54583824303155,1.48534731727014,0.568438399787344,0.0260424450130062,0.540497657353439,82.4195540624408
15,2,1,3,2,1,1,1,0.5,0.5,5,17.813103104776,2.87892898937817,2.21589067367491,3.47976572284641,2.70287983279153,0.049586876049276,2.24457217265701,1.32792667017158,0.292389034200474,0.0137402799670971,0.555485271210845,78.5088068317774
20,2,1,3,2,1,1,1,0.5,0.5,5,19.3440558985644,2.95747892394237,2.65591055648494,4.79034887427353,2.99127677791469,0.0414403646137222,1.45202500488396,1.11714635179652,0.849890615059832,0.136935725585633,0.623910510213454,83.8897794373072
25,2,1,3,2,1,1,1,0.5,0.5,5,28.7855386050709,2.62454091154284,2.09426871620673,4.24930895287593,2.14280467560654,6.82484094834679,0.314296487252425,3.12968267885852,0.00185113754156203,0.0124277886154462,0.678045097390117,91.4383624942122
