"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,0.5,0.5,5,15.2424529248516,1.90308990753768,4.67885876843243,3.39567835276913,0.945179374552647,0.0967907151400639,1.12223415042619,0.76394534916244,0.512504904009615,0.123313073271358,0.574247404894384,162.922818727882
20,2,1,3,2,1,1,1,0.5,0.5,5,18.9122833320587,2.15050672314853,4.82765364345637,3.37133035910725,0.846172985615466,0.159227589434674,0.804547177327212,0.848577825612685,0.563328476111555,0.153374646767325,0.56506762315897,163.943350028286
25,2,1,3,2,1,1,1,0.5,0.5,5,27.1935587111486,2.05781455457309,3.92230045811394,3.35228291514239,1.71788964245159,0.658197456234487,1.00676697243296,0.976167189415251,0.0996540207330793,0.0227896273613527,0.577586726031805,167.938464361487
15,2,1,3,2,1,1,1,0.5,0.5,5,13.73573821168,2.17903473992604,4.23556497667027,3.41843993101501,1.38495807714253,0.210706876837798,0.755557394765207,0.843053126658696,0.364527650616529,0.258682230641449,0.605235973836852,172.214309273156
20,2,1,3,2,1,1,1,0.5,0.5,5,17.9249592349917,2.4339539714817,3.96248620839723,3.45720714541727,1.75741264024526,0.152950323866394,1.12131188961831,0.853149716051518,0.31143328059565,0.173686194593388,0.552144034158654,171.53096603654
25,2,1,3,2,1,1,1,0.5,0.5,5,20.7931102932192,2.30192950954797,3.82309025079889,3.34750542906223,1.50319388096425,0.140557131780229,1.00631778598897,0.540451960502679,0.26343980484956,0.0501195615897975,0.571451019321852,168.998100731113
15,2,1,3,2,1,1,1,0.5,0.5,5,13.1371701695966,2.10538518343266,3.45218241895782,3.41159293283285,2.48026167495037,0.189197810162905,1.02306597564902,0.997191533449209,0.377841148686308,0.179249310915576,0.601673679618814,175.997616571695
20,2,1,3,2,1,1,1,0.5,0.5,5,23.318836586456,2.19406119131243,3.94560705581567,3.35231817337624,2.44327088903929,0.070541897549165,1.10513038813158,0.72477982016429,0.557689258092856,0.206438022745525,0.602106174401195,169.205522422147
25,2,1,3,2,1,1,1,0.5,0.5,5,20.9201931793909,1.9047684360355,4.6232544360635,3.50037668162839,1.83144852682814,0.133153732036639,1.40738103516093,0.713667288472827,0.220603734268984,0.0643542115546537,0.581635137819263,166.086803728324
