"","1","2","3","4"
"sps_compABAM",0,0.000205418194791399,0,0
"sps_compCANO",-0.000547052342327818,-0.000495323253481292,-0.000430374617410761,-0.000532974416802007
"sps_compOTHR",0.000181665657121208,0,0,0
"sps_compPICO",0,0,0,0
"sps_compPIMO",0,0,0,0
"sps_compPSME",-0.000702259734796579,-0.000602875206491406,-0.00136654275112692,0
"sps_compTABR",0,0,0,0
"sps_compTHPL",-0.000607187574158832,-6.6151597697349e-05,-0.000294667694164188,0
"sps_compTSHE",0,0,0,0
"dbh_comp",0,0,0,-0.000496805473068404
"prox",0,0,0,0
"all_density",-0.00346050606678274,-0.00644890560989827,-0.00790701574261682,-0.00197056906083841
"ABAM_density",0.0107205323198119,0.0148100623832577,0.0137254360158766,0.0181946998570121
"CANO_density",0,0,0.000450589750230757,0
"PSME_density",-0.0112768589125335,-0.006738795244648,-0.00904322424975248,-0.00833879756902284
"TABR_density",0.00494913570419705,0,0.000836658384975785,0.00155931512460604
"THPL_density",0,0,-0.0016863387847139,0
"TSHE_density",-0.00404934445372464,-0.00714838853892735,-0.0017890801783361,-0.0045728926296877
"PIMO_density",-0.00154238390800123,0,-0.00179069186141001,0
"PICO_density",0.00314952659969607,0,0.00269783603615817,0.000902962760652346
"pet_mm",0.0103229566107065,0.00623350160896512,0.013388998451147,0.0114294059829248
"inter_dens",0,0,0,0
"OTHR_density",0,0,0,-0.000511158175182951
