"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
15,2,1,3,2,5,14.8641600692961,1.45870851587002,1.52004223648077,3.39545077453361,2.83275896833493,0.756162476155484,235.931072163811
20,2,1,3,2,5,21.9503506582255,1.33162580647126,2.2612842128925,2.78666128001692,2.97726175121838,0.763151031577707,232.378023003661
25,2,1,3,2,5,27.4212395941863,1.37580321178196,2.58286501427706,3.01031011728302,2.70831294835404,0.72017973107242,230.809560387801
15,2,1,3,2,5,20.7057507532397,1.37727080542848,2.02218419207756,3.03412819159559,2.8793127961299,0.751343792268772,232.827192622719
20,2,1,3,2,5,27.6918031515766,1.45914667626883,2.40757172211814,2.78777192683834,2.88893062802017,0.727969957500441,230.619350982115
25,2,1,3,2,5,29.6238244255938,1.44237884433245,2.53513612972784,3.04498472112145,2.99863397644712,0.747540676477764,229.92073086581
15,2,1,3,2,5,21.9147197475872,1.4662556235067,1.92960034574866,2.96461145004358,2.91848615061171,0.785044380291918,233.15276868348
20,2,1,3,2,5,25.6382069222787,1.34418291046194,2.47299773210841,3.29202829683366,2.934850204494,0.740766359579446,231.074767035739
25,2,1,3,2,5,29.3592260972038,1.38621049595084,2.71839048737933,2.82570913693107,2.9727067173347,0.730101787430833,229.902393822273
