"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","lmd5","lmd6","lmd7","lmd8","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","lmd6_opt","lmd7_opt","lmd8_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5.12085828191348,2.01162999768813,5.25879952915439,4.93932112815382,1.08560256845663,0.0181582098237388,0.833288894506449,0.152502713809992,0.887140338861519,0.526924240364884,0.600217826488828,0.047257107359393,0.304163382601834,0.82851938079098,0.516996735196732,0.752377076454635,0.909943505266196,305.381429504314
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,16.7435964436404,1.92992144912755,4.02797620408464,4.89583295605936,2.9615358006049,0.0147987210419709,1.1214795822082,0.349764423364904,0.34012601352275,0.44015852397973,0.410641825469295,0.168432615537811,0.304897960204404,0.643668605117164,0.100915446761239,0.928007524744885,0.914266628613321,303.806005402835
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,27.8277235221326,2.87796424168142,4.72856618389335,3.81681835287573,2.58988842464804,0.0535033564001022,0.279939133234301,0.324981797289201,0.766022152974118,0.329105568677793,0.0596117485576241,0.164762480396303,0.876079145570528,0.780463814370194,0.459663156805811,0.787361913311021,0.875213310512995,300.381681824357
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,4.89382903419073,2.5674302724043,3.80432224227547,4.82698778867057,1.11167625664733,0.0329431880491138,0.825184781153581,0.608211382686681,0.340059697623332,0.315787396970947,0.199954217327442,0.52279876421871,0.0114936405993819,0.647121645687877,0.273544076508908,0.979206907465922,0.883067025537907,311.584205057415
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,12.8722727879439,2.57547968999543,4.4286624939283,4.00891205602967,2.84136167753713,0.0836943850608514,0.424782323655664,0.698264152732465,0.5183846293786,0.196152741489492,0.740094906759827,0.0996088994429988,0.116344232560345,0.944526697582667,0.680865726707114,0.949903783656097,0.88318077926268,303.246772552165
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,22.6843322772013,2.23707107207694,4.75487265357591,4.37997021607987,1.93738284277935,0.0506053791078939,0.520452285986647,0.510342312849106,0.644645612995337,0.0622967241258347,0.801991992826877,0.0274587688180185,0.31315202966218,0.818649022645873,0.785937822927025,0.911437201124456,0.84915491956584,298.77277255486
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,6.70113551391444,2.10792537029301,3.58563650237518,4.46847969431243,2.13262022185545,0.118993962762007,0.661815192966887,0.904664860206226,0.315171868778361,0.67666790962205,0.614683083061355,0.0839115689993101,0.168845669706293,0.607843517289637,0.109085038576899,0.518404584045005,0.901899528607817,314.200532563664
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,12.8102389607521,2.58227096892306,4.56245243509014,4.02774360079252,2.57691309776795,0.0476797852050316,0.0251080160831099,0.0986911377750921,0.357162430181031,0.00209791740179485,0.355561483055081,0.145460201077844,0.403098842659129,0.780704245579515,0.189622933561615,0.963832299370953,0.904147578258143,302.49691764026
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,24.4035610273419,2.88281166554888,4.57271286856213,4.76223884051963,1.91649450034486,0.0595142880103034,0.761866527465649,0.714593083389246,0.630509949573054,0.0964010101190005,0.143917648282089,0.0188495791528611,0.0400213847823513,0.713175411821841,0.341976584751804,0.832522141442174,0.854137474289987,298.364436345641
