"species","mod_str","mse","test_r2"
"ABAM","int_comp",0.739574903331078,0.39500786870705
"CANO","no_comp",0.34118425679336,-0.0568731625424441
"PSME","int_comp",0.936489493047206,0.303739914336002
"THPL","ss_comp",1.39635074695101,0.495331180292817
"TSHE","ss_comp",1.89380104448209,0.248871660462049
"TSME","ss_comp",0.0813288818211867,0.259092976845848
