"","1","2","3","4"
"sps_compABAM",0.000999651600552771,0.000678275777184905,0.00102242624256828,0.00147770444060558
"sps_compCANO",0,0,-0.000178834584592854,0
"sps_compOTHR",0,0,0,0
"sps_compPSME",-0.00135605071398202,-0.000883370137050342,-0.000765439760390744,-0.000545746903162737
"sps_compTABR",0,0,0,0
"sps_compTHPL",-0.000408498233142431,-0.000546244774657892,0,-7.06948057903498e-05
"sps_compTSHE",0,0,0,0
"sps_compTSME",-0.000434946741986519,-1.2084030756853e-05,-0.000307139494436071,0
"dbh_comp",0.000726382496629732,0.00014988145027971,0.000580635459585425,0.000516471140203619
"prox",0,0.00015234059324281,0,0
"all_density",-0.000162687383488702,-0.00148241500595979,-4.30057317085946e-05,0
"ABAM_density",0,0,0,0.00117009668863739
"CANO_density",-0.00569495513884329,-0.00603047429984341,-0.00589351316236648,-0.00226729797568032
"PSME_density",0,0,0,-0.000918809282844746
"TABR_density",-0.0056873245303192,-0.00559505152881949,-0.0072564718768951,-0.00613168261193148
"THPL_density",0,-0.0031828174872739,0,0
"TSHE_density",0.00916286527725297,0.00820802326600919,0.00554106498318601,0.012064247123849
"TSME_density",-0.00102430948781105,-0.00369683990879055,-0.00139534617990656,0
"pet_mm",0.00413758151023277,0.0055785691416734,0.00411767375883721,0.00735166776091101
"inter_dens",0,-0.000378159616518816,0,-0.00196573374187848
"OTHR_density",-0.000329527560630309,0,-0.000673639229396516,-0.000421024770528052
