"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,5,17.3242423688857,2.14582811249606,4.08377608415138,3.43806323378309,1.56164567195841,0.0709530726254094,0.705277999846215,0.932692803182909,0.566087573432804,173.389676042222
20,2,1,3,2,1,1,1,5,20.0876327993653,2.19006824038083,4.7934617642072,3.30629231191715,1.45360353448725,0.0751881044569753,0.652684516851714,0.856293106162414,0.580860184700811,169.960122077382
25,2,1,3,2,1,1,1,5,22.9169314350516,2.09428207185175,4.89908959120789,3.35495550948839,1.25362120341206,0.0991705635452605,0.55104159622744,0.974756284799828,0.565862030171334,169.050297701591
15,2,1,3,2,1,1,1,5,16.4114703479255,2.19688124575715,4.02159577112048,3.5307310699447,2.93472006387415,0.0889944900165457,0.576881556011433,0.891429421536559,0.592811836561443,175.357685669563
20,2,1,3,2,1,1,1,5,19.5326246786223,1.30646054447054,2.66620790615582,4.58429052854024,2.35569787935699,0.00197926405782976,3.11765551307117,3.06587429146561,0.674875366710206,200.893816145743
25,2,1,3,2,1,1,1,5,24.1765954930918,1.86100165821399,4.94609831348278,3.38703723217143,1.17910136976526,0.131012696381547,0.250203244063096,0.934305361165406,0.549673311792873,170.637572508935
15,2,1,3,2,1,1,1,5,12.1417196414698,2.4307366138153,4.37420766171103,3.30016654052241,1.89054555305298,0.102194691673991,0.423911550382095,0.78467323062372,0.603531074143539,176.795348401252
20,2,1,3,2,1,1,1,5,18.4526996043216,1.78885376469394,9.97991334426796,3.32277987181993,0.944273241437708,0.0616308397020038,0.917802363511196,0.769593638458996,0.550620559111203,161.664011434499
25,2,1,3,2,1,1,1,5,23.2670761949399,2.60222053867203,5.0273108398583,3.67934638012723,2.26666525238073,0.0913488012481857,0.631030535250767,0.887157051196024,0.59891039547121,173.421006187823
