"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","lmd5","lmd6","lmd7","lmd8","lmd9","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","lmd6_opt","lmd7_opt","lmd8_opt","lmd9_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,6.72830082216609,1.42004183178907,3.73267982391912,4.89017772287083,2.29731636398082,0.132139265307456,0.655752535414294,0.92100263184463,0.0872206853427115,0.430939935006437,0.0426741256863805,0.0179856607535095,0.239104928764836,0.94953963155305,0.585129647458647,0.337153170328886,0.161159400397474,1.27252874895122,1480.36100082745
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,14.1536349050501,2.13723036285895,4.41860557790732,4.873503243857,2.98063478090121,0.0592979147143697,0.93296961617843,0.604723348823687,0.100271117365444,0.989047287989423,0.0542422331752076,0.205691397940138,0.276364337695565,0.739766963879768,0.0308019656710162,0.319561695139462,0.266228626235048,1.23407011270732,1466.55384691554
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,23.6067332820459,2.34666551082053,3.92277594834069,5.28199546028907,2.91582006106195,0.165403511926087,0.418952296944133,0.811142071069013,0.00452603938991004,0.50296274791322,0.0477024959366904,0.24109966890538,0.604889099042821,0.939068414737606,0.830457728381002,0.507176016462304,0.0817345813830856,1.28817674842895,1472.54845740486
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,7.34311651615451,1.36042509449179,3.47111099498255,5.04054178520617,1.86838431971132,2.38788540439791,0.0284292662825513,1.88371428376555,0.0264728655099801,0.475503733302024,0.0210375303338368,0.329409005774292,0.119246489315243,0.650647605739762,0.877886797655057,0.43206782485085,0.0364097072633489,1.28351059963807,1510.96283855245
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,12.2450667347953,1.9830959591305,4.15910825913377,5.02594255949257,2.43450532570998,0.10471979364271,1.21761368466822,1.14515223207006,0.068119362469989,0.223595011395436,0.651253257563923,0.918375802052977,0.595056705602333,0.610437397162554,0.996519752319007,0.103378575873133,0.189614371106662,1.2752743470064,1482.51758150478
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,24.2987472050137,2.3462894620232,4.44781187140454,5.46150028692696,2.72258596405564,0.418690110010105,0.415434693826979,1.22032607232187,0.00385457026468509,0.959795571744635,0.030193378295662,0.658396652413176,0.742831038585269,0.682462969054299,0.551362581938623,0.537218034043401,0.100905584727262,1.24611148171167,1471.18723568414
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,6.02829758255293,1.27963392804876,4.38230696601455,5.8457962981965,2.65427602981969,0.0663233962414814,1.46442373990518,1.17123697103308,0.00734535919169994,0.402643600886412,0.0592631399156689,0.293848911293287,0.228761459091082,0.631661822943049,0.540883719139647,0.0853556905789107,0.289113103968849,1.32305273254377,1475.75082397438
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,13.5550967793193,2.01752275172205,4.59288249023646,5.35485842924032,2.94415911890025,0.0647295105751423,1.04704021332868,0.946932849087393,0.0269604982859706,0.903223030250973,0.306768812233448,0.245899400069882,0.685429939552314,0.976384776274605,0.653198367573142,0.254250343646906,0.511038167581236,1.31216425072573,1466.55722801011
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,24.9054264955253,2.43541638528536,4.59020672673381,5.68541862483771,2.37721927302615,0.112556364548291,0.372834167174665,0.590371704594851,0.0469402995684245,0.895814545588406,0.206755915997402,0.00955520840480348,0.700756868259256,0.953667905624094,0.469304816907819,0.868148608869041,0.0628965064198909,1.2659151013778,1466.43319698151
