"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
20,2,1,3,2,1,1,1,5,17.6927503819681,2.49240434897904,4.64175146956465,4.43203210827863,2.08352858348337,0.0153507312198576,0.539985738685486,0.100910122949235,1.00765709233262,303.963838480651
25,2,1,3,2,1,1,1,5,25.8555807529855,2.05658278844219,4.69093712283618,4.89635654595233,2.56151418684115,0.00725565832821577,1.35603150905713,0.436983062461377,0.964203195112565,303.263853811557
30,2,1,3,2,1,1,1,5,26.1683953859333,2.91262913558375,4.44156404604739,5.52272813838297,2.76754015750796,0.01228004739583,1.07107445835884,0.418302464071992,0.962220947059822,304.086377586213
20,2,1,3,2,1,1,1,5,14.8352343744622,2.99313046493628,4.19364443707939,4.03083705716984,2.73389491646036,0.0130798334567393,0.597612750199338,0.102104550609814,1.02458285959439,306.577784230493
25,2,1,3,2,1,1,1,5,28.9190751446133,2.31061677271151,2.28540873589841,5.15307687131342,2.84484358756912,0.000550277156614574,0.15263176880299,2.41849511922158,1.09273050683837,326.711597635839
30,2,1,3,2,1,1,1,5,28.7176107379985,2.52991833086915,4.79466717221389,4.77200344667296,2.51828313274995,0.0126175823936595,1.2310894603488,0.524856254860032,0.990622955740676,302.711683911117
20,2,1,3,2,1,1,1,5,15.591299523935,2.60449921652589,2.14413794266994,5.13411104983181,1.5400019476867,1.04389971720097e-05,0.50809175526815,3.36752819061991,1.13218724734635,328.18931884846
25,2,1,3,2,1,1,1,5,28.6328370198647,2.61995456352724,5.04155568684598,4.45178847382048,2.62274021801714,0.0143948795463124,0.963919117095068,0.361717172021123,0.994531273887813,301.409444862972
30,2,1,3,2,1,1,1,5,23.586943346792,2.35919321308785,3.82003903876651,4.61552995448678,2.84813716481408,0.00455783635306054,1.06866647687722,0.068597729894779,1.0435347026326,306.369506947605
