"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,5,10.2246351402853,1.65638237978345,6.04776179010172,3.20283788436536,1.2897974243258,0.0569672879083857,0.869379519447832,0.77647570543324,0.693960538610889,184.644871093317
20,2,1,3,2,1,1,1,5,20.7923457364091,1.47091434801377,5.17718974129248,2.96159190226268,2.59069548166086,0.0696649119569755,0.548526423857008,0.842202945182366,0.697069766866668,181.387384766655
25,2,1,3,2,1,1,1,5,24.6070858053048,1.99385713138398,4.33049957552594,3.20328289580068,1.93652252399197,0.0828294565439219,0.632734289138278,0.998557067938171,0.644198954325539,180.682009152505
15,2,1,3,2,1,1,1,5,12.1441288175178,1.70844464998234,5.41594074135257,2.3886606461471,2.58402251551547,0.0413064868880727,0.996781781404664,0.755372190742566,0.645312130993265,183.90473644339
20,2,1,3,2,1,1,1,5,26.6356647326967,1.92404952686432,4.43842372248526,3.08672415525364,2.75720705740781,0.0489617141467172,0.703277663277933,0.775078323497787,0.638222246960837,179.731254544318
25,2,1,3,2,1,1,1,5,23.9267359684922,2.02872168971091,4.5021139901958,3.12269454906272,2.18016379536392,0.0459742948278997,0.658880190168525,0.662117510123034,0.719712937830434,181.401235686413
15,2,1,3,2,1,1,1,5,18.049706630172,2.07536583032048,3.7476036411552,3.04570606019902,2.37331110586095,0.0870934281472321,0.476184741427126,0.86832938116898,0.692491443672298,183.381954133129
20,2,1,3,2,1,1,1,5,22.6441558184488,2.0119464788182,4.08945981777038,2.89832972172032,2.71710256796537,0.0534674120551448,0.68575891621656,0.780789006046686,0.675954532671066,180.991806133572
25,2,1,3,2,1,1,1,5,26.9955566400766,2.20385899213295,4.45964060167542,2.7994396647767,2.78888251722281,0.0401384073129282,0.90869050253211,0.789545576945553,0.679687569958861,179.504287240008
