"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,5,5.21007008402129,1.20721455699634,1.58169030608746,3.90629988173256,1.77350090542889,0.00734424465241031,0.474529571010053,2.38255694112045,0.503981391530021,59.3629098393454
15,2,1,3,2,1,1,1,5,11.6767321185026,2.24847935547433,1.48988237954306,3.92137022443588,2.02669010810727,0.000397995150398837,0.0962976850512411,2.1131122646152,0.566428336555416,60.2616123418104
20,2,1,3,2,1,1,1,5,22.5093209297238,2.91703653248502,5.47117487197684,5.6538927960547,2.93544363000027,0.00489882592745847,1.72518885668173,0.385973515881057,0.613210804402517,69.0989041155633
25,2,1,3,2,1,1,1,5,24.287414629752,2.5763039555741,1.64847499483485,4.35788165153107,2.63679293496236,0.00162797809705231,0.0778529251998334,2.53613193369881,0.548316423002032,60.7483539611182
10,2,1,3,2,1,1,1,5,12.3800473901131,2.67812012613832,1.55278593490908,3.70746556313816,1.43127939460083,0.00310588777882898,0.49405557096363,1.95854676433823,0.55330216888282,60.545115390428
15,2,1,3,2,1,1,1,5,16.8243516543401,2.65820867222152,1.51177974692309,4.18668412583355,2.52177528187848,0.00805264678681552,0.228962077643027,3.0808190328939,0.569511945387344,60.614975391189
20,2,1,3,2,1,1,1,5,25.5299371917091,2.70284793699389,4.79449252727511,3.39074121233933,1.86292893639396,0.00660078602363483,1.69893419315395,0.477986762482327,0.626819093859612,65.8402196394227
25,2,1,3,2,1,1,1,5,24.1761114003712,2.84893637324332,1.70444605742283,4.37625433800303,2.50480735898579,0.00168515704478505,1.96924185158107,3.46165440445962,0.543207200177009,60.4162660583406
10,2,1,3,2,1,1,1,5,13.2266958700153,2.68649021025126,1.49780432825852,4.38017486579224,2.47815010804921,0.00959594420874593,0.550452973320019,3.5686691702221,0.569580043668244,60.7128256539293
15,2,1,3,2,1,1,1,5,14.084706572731,2.67031640990783,1.84545318586849,3.56594629121771,1.13597207656149,0.0057039219938222,1.68138117054419,1.95810587971964,0.560971040105752,60.5727006515247
20,2,1,3,2,1,1,1,5,20.2943776686984,2.84515652334946,1.58337502369657,4.16208253206506,2.11463110579364,0.00113717958402704,0.922253007492373,3.79668309740585,0.56210500369121,60.6052343125011
25,2,1,3,2,1,1,1,5,24.6717284757896,2.80528588938577,1.62826720801712,4.31963410129173,2.56514865192749,0.0114058375275913,0.477907969047887,2.2897470333924,0.551245141615479,60.8087645472696
