"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,4.98923917313476,2.41579350998162,2.12612097203297,3.27021834505644,1.17713239132298,0.0111485959132066,2.72807442988686,2.08462655149424,0.142991921090856,0.0819907941610653,0.526987172112737,0.819264004795331,0.57965461735562,64.6979385229613
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,10.6885347412769,2.40653392044231,2.2384482564728,2.50593748596796,2.94699966373272,0.0262685522795767,1.72006289051121,1.21172902866916,0.204912194322018,0.193437008130064,0.208506200276694,0.807513242781412,0.543279158929389,64.6846062373858
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,29.7684335353137,2.80921160742637,1.98175042509807,3.30301625099873,1.27762749732564,3.13690439701376,0.0136027685279395,3.96441581294525,0.0581687922445563,0.0237789916608469,0.646460621628406,0.00197860006002098,0.659433320356705,72.9138217793966
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,5.12787735385131,1.6358333993129,2.40784123235143,3.23785109384041,2.0150392742227,0.0175930634029213,2.31420475559533,1.04819072943819,0.0550648880017525,0.0182446432993918,0.750560858118989,0.386875274573068,0.508511885951819,60.9132975589982
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,17.7598159580195,2.15707900541958,7.35986507657219,3.30135336411431,1.0199596337778,0.0276613049982947,1.59185634478406,0.6630680071655,0.252352681510963,0.338368123438296,0.92016421212462,0.902441975922324,0.604869169329975,67.2936157696937
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,28.5536981808305,2.94342199428482,2.67407323327521,3.62972369188127,1.41033064206429,0.0240247448093883,1.7875056830026,1.53886025987938,0.0241665412830467,0.300085787825116,0.927467372807236,0.962257190295459,0.555625486897378,65.0221326376772
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,6.3362052843917,2.1711374955522,1.44906893081278,3.81942429242389,2.77017905221647,0.189537978439049,0.141985645752785,2.79781926514774,0.004580332833588,0.824825763486595,0.62961878640285,0.0994779883445639,0.562125111363504,69.1648778504125
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,18.6970017759655,2.78605976654541,2.65355548059217,3.64211125026582,2.80358891713887,0.0225492634629821,2.15422835502121,0.89284928306707,0.0994279354499233,0.0587324340416061,0.493547721695642,0.340740864316381,0.524204669397196,59.7377641891023
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,5,23.559371886348,2.83919990938143,2.37388000429311,3.38544113520918,2.74380545315123,0.0427853686925568,1.95063966394875,1.26258665617281,0.0259878753825615,0.00237289679925263,0.517775259445523,0.447888652828294,0.562771624077457,60.7373316867654
