"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","lmd5","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,3.17836243226001,0.91510893005117,3.36401899141346,4.94401245995666,2.55276001839983,8.62264491147867,0.101005517688128,1.36020928021357,0.0169410451251332,0.039661609997629,0.254964337623845,0.015120393591636,0.0990293076216191,0.701901639480935,201.123513662015
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,17.0911081357639,2.21872168049262,3.16977338940524,4.16751483624866,2.04421316307879,0.0458372421767937,1.08504472607066,0.651405344124031,0.00142389832781892,0.855039671625765,0.0745353370114398,0.592119070145979,0.178412621978981,0.54951912826445,162.522321068495
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,23.6997675744895,2.58316524284724,2.88496634245382,4.36718421409228,2.56404021229637,0.0523905267605215,0.923071752273629,0.691870747036226,0.0495546490627854,0.840852163567623,0.0326025684700104,0.58424652358117,0.459557564509577,0.590160687945724,165.688839875152
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,6.5842817505732,1.80108174652616,1.22352975935684,3.64442749521867,1.80220528809634,2.89611750217442,0.143969369226835,3.96763345235692,0.0689671276466071,0.0275248759421746,0.18899883306436,0.000447287264212609,0.195108028573702,0.678543069293007,189.9202584919
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,15.203738569069,1.91139594174546,3.15684640001223,4.22411035700567,2.41005691237326,0.0440437319837661,1.02680032972761,0.671158919338356,6.70259161787978e-05,0.935709363985129,0.597759488156709,0.137509950048884,0.242453295025327,0.56828214059044,163.616950970166
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,22.9351896144299,2.71683601562738,2.4576661582413,3.80737882659004,2.34795172020068,0.0603637020073125,1.30823662372444,0.940736571961948,0.0808372496287437,0.539953080279631,0.138165413868078,0.00988843913181319,0.196494414880545,0.538082934572476,165.016939168795
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,4.18593447865655,2.79049063075696,2.19760533592673,4.3156924709079,2.37650346702226,0.00435986216645453,2.82690564578254,1.0159696867579,0.0728097394421078,0.840010909124939,0.664192907534689,0.411612091119719,0.128474706271314,0.58767070584126,168.545812155387
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,17.7725635457664,2.43493349496302,2.40974461780712,4.1487728912473,2.74970478681544,0.0136871470569271,1.90508962004618,0.806544501879076,0.144806975494909,0.699209755937131,0.60184449553087,0.265089866824523,0.188423105548011,0.5833407411109,163.777768794542
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,24.2689552664548,2.88700515266015,2.48506033344365,4.18170029123443,2.79119033575283,0.0561753843718995,0.833917297561222,0.834157234605065,0.170181285803053,0.997990660120623,0.652653375096297,0.219232899015786,0.296355972943058,0.580125627132565,166.172421840516
