"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","lmd5","lmd6","lmd7","lmd8","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","lmd6_opt","lmd7_opt","lmd8_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5.64184950482125,1.25619464952268,3.80080310025496,4.33409622761634,1.36123894434702,0.108553492520302,0.745655348730796,0.983857357825694,0.272181801637798,0.673374003878362,0.774842197507646,0.973441404444619,0.600308906991312,0.834912596359797,0.19154828399456,0.958554196682098,0.944154037700702,1526.97140600093
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,14.8251536608974,1.86478674334005,4.90131818107213,4.19421437835744,0.909916730476804,0.302970986044188,0.595057230882256,1.17018843604856,0.174921028504254,0.418494272075228,0.245248661245027,0.613197692707711,0.108302974879711,0.632184346245162,0.181706828081113,0.647201344799945,0.952900322672639,1537.03472963334
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,24.0104018025981,2.15253143576865,4.63815845671624,4.15203563944686,1.0371136506822,0.105932289575364,1.04626839392057,1.36918542113451,0.2690981436154,0.867526432566412,0.304034888375654,0.570488886511429,0.703418130972605,0.105017961966176,0.229875074544133,0.902001362281034,1.0003152423941,1559.88300867307
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5.98593725968308,1.27834617893363,4.42218627867377,4.33699104906182,1.10093191240661,0.189904649114992,0.419395912870016,0.7235356689417,0.17617992804389,0.391498933021706,0.722768472850618,0.26319821573352,0.6390554324094,0.474853829152591,0.268391271456309,0.698676205936832,0.939362988464894,1515.25057319985
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,13.8452444826102,1.88146235355715,5.56656360511435,4.15382150610847,0.967639063739566,0.365905600057701,0.57632790075215,1.09942750459669,0.160822903183316,0.395709887694549,0.258629269759714,0.0648055210931465,0.327695626853814,0.518478810800827,0.284533000994668,0.573744801271417,0.953152302209101,1535.36501457749
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,23.4159632536077,2.31621815594144,4.8641836360006,5.17068053776713,2.88243993999549,0.159459480055047,0.616494397289472,0.980717370263551,0.219441314831226,0.773803933622511,0.497792373751391,0.980633045392267,0.901508025979478,0.712185481531358,0.460512360793338,0.812382075936076,0.957898914973137,1573.64796542313
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5.22637623609849,1.18432946934441,4.33242434829096,4.32609060541948,1.2157509320022,0.205253768959486,0.660037260537939,1.04732835870925,0.179479289461599,0.496451652632487,0.877006937457239,0.595472871088619,0.407548606781499,0.580146674035939,0.302539689652409,0.778452941893163,0.910672105154407,1514.21858138843
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,16.5880848166989,1.91161522464887,4.15850988622719,4.44244348805937,1.47400480470861,0.284852660490593,0.220798132598311,0.690192151228502,0.0821551284571788,0.232725154626753,0.479788745178302,0.507202949487321,0.398383660192117,0.368572508538696,0.0653244327570605,0.482801012523126,0.94729224698802,1557.56027550516
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,25.8896550667402,2.24588131054909,5.71467892635179,4.45562018460975,1.20337335124896,0.293440821121989,0.338880705440262,0.864993080507078,0.195404755588196,0.260878695523831,0.740462922851968,0.818114348936396,0.132572099901236,0.373923026266578,0.244136429352173,0.943193245690291,0.984167942130112,1543.09967365742
