"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSHE","TSME","sigma","NLL","mse"
1,15,11.4109564677484,1.68232466990374,3.08494534768716,3.11354909276678,2.76684643178522,2.23943291040492,0.164070681718124,1.14181705666808,0.00548541835875081,0.138297964725982,0.17772516389761,0.00592214505947979,0.147059457727688,0.744793389746739,231.764304913988,0.46965208875848
2,15,17.5169338142587,2.69282377376485,2.64365300350875,3.20692117929763,2.83782765619999,0.0602196601190945,1.10480260255177,1.0915070801616,0.131353662500236,0.884898406089178,0.225187608098377,0.0448499069614833,0.319123755317232,0.754050535461257,228.088624059504,0.546497238351277
3,15,16.4596881080366,1.9764528843895,3.58764787952387,2.87088109249629,2.41329952714684,0.168293225390987,0.301697969012289,0.703630282589248,0.119009156647525,0.61076450749722,0.145350466101114,0.0303827358443455,0.668168910691296,0.75530577536126,222.360624846242,0.482526006152953
4,15,14.6524410258414,2.02963608297147,4.7096814556535,3.21033440540684,2.79684525390313,0.0872758477061818,0.880594796439101,0.659042766467786,0.0215429765403012,0.718732860583642,0.273792262487446,0.216878223234468,0.750538869314234,0.681625525994225,218.798609323049,0.59378143613041
5,15,15.3669726704277,2.6690670881254,2.36420163977828,3.41921831277182,2.49237756132915,2.97412384430125,0.270723241383152,1.33862454565339,0.0207553108040035,0.0592728952132236,0.536697679925009,0.003258190888776,0.0804191132281941,0.812435869670287,235.787978219228,0.484767821219548
6,15,17.1179641753273,2.30171975806803,3.61764649316538,3.11253541447594,2.89701492832274,0.0793662507502735,0.614416917470215,0.491705499587904,0.0649020005360382,0.778434456395713,0.462861475365237,0.092551586734221,0.592155911322102,0.642311979353116,219.852143513297,0.485953340706018
7,15,19.3788769779949,1.44646349786757,2.69361115698503,3.0981113501652,1.73856530161305,3.36682762663051,0.211961016542118,3.11726393318191,0.0502492607877987,0.0806331582078664,0.654594367075914,0.00825491794556074,0.0817421163187901,0.809464518111999,251.013837158825,0.413689686458053
8,15,12.5935826248121,2.36562186153196,3.9951063170481,3.28329260406169,2.33730869941821,0.0723175981338575,0.63184858791072,0.282377382476882,0.0229561709548177,0.675265063827202,0.600783438258755,0.125739363820411,0.308369098822826,0.685736923263997,219.128542008192,0.589372619285685
9,15,15.4349562851826,2.19205104154078,2.4769179963868,2.57581473203385,2.49959107885958,0.014193692813626,2.19842780390928,1.34890043379237,0.129606910961306,0.927632822186169,0.39056216340677,0.06960238610348,0.728138558513922,0.78858872230751,233.95379302862,0.36893671979051
10,15,14.711002420255,2.51085059859121,3.26888902744765,2.98200311559924,2.68458193486125,0.0442554215589145,0.909757997681211,0.595390390704373,0.00894985329187525,0.961478855531516,0.226991029629247,0.187236300849638,0.649710168536795,0.696165735571315,220.516119308538,0.540538689820211
1,20,21.6559134662286,2.30890509552198,3.50112176199767,4.33398413123529,2.6707003481567,0.100076238302576,0.780742127744216,0.620989074114225,0.0106512121383604,0.543403998386389,0.963525794192812,0.0285751462337052,0.299137098383173,0.771755548121978,221.960290737632,0.560249852660396
2,20,21.6732328198051,2.04613202034601,4.14097195356524,2.76229132351084,2.62753579347167,0.0784629620209975,0.824554786650814,0.645992792860898,0.0130244270275047,0.701018685652867,0.665790872855876,0.0081811234068104,0.403149189362728,0.686020773477781,215.701922977678,0.548192206976406
3,20,22.122159580616,1.68225144509694,3.45141095502424,3.05334488927499,1.21878851850918,6.28169612629355,0.0861170487405783,1.84187403194955,0.0215671535481557,0.0781639611408844,0.590331017112125,0.0625918189348319,0.062757784928878,0.776547963841732,254.164312955355,0.366904759100499
4,20,22.9041382599483,2.57464639718254,4.09281621764312,3.35069461057859,2.47940481502242,0.0209356595928217,1.37361296039105,0.307760513021622,0.000154834725220397,0.827528600234377,0.29142543884906,0.124501244595625,0.202757344606981,0.675462117556477,214.248281846201,0.563252196996811
5,20,22.1070489918302,2.0977778811227,3.75137378278527,3.15474715341973,2.41166131789949,0.214460417394112,0.6220658278118,0.676521366823662,0.0379437714884249,0.36689502282964,0.11650217179307,0.0236208326617224,0.278278696699056,0.724503415302803,219.164520617812,0.454210414038747
6,20,20.282211110423,1.58240023579368,2.04027605503052,3.21347035456734,2.64970863810387,6.03913290131348,0.0772665181597076,3.4813128164896,0.0200204127252329,0.0292984610575579,0.926776247344845,0.00342941601371832,0.288462988751129,0.892553763122915,253.301083552193,0.341819368767195
7,20,20.4134070860318,2.89232326791722,3.65374085401492,3.05505369531574,2.74808622366317,0.0363564917622194,1.51580503793039,0.580265549365529,0.00256723377137562,0.611413783075551,0.91860232323617,0.0770837477730587,0.267365878637299,0.652970903800559,215.552790680929,0.474820580485685
8,20,15.1646487778237,1.69931285434602,3.14173244704923,3.03300386985356,2.84416018878298,0.0505628474480136,1.38899135518659,0.805713253337667,0.0133822326206474,0.548125872655082,0.14957863786093,0.00239867394955759,0.354908788571439,0.68533123771077,220.463352062132,0.427202604768285
9,20,17.4481502570248,2.26628239640287,3.08476596009785,3.49205866554871,2.22569927727995,0.0762062137158732,0.391742195230201,0.486882292291077,0.00435122664063174,0.896467745525664,0.792666110234613,0.0130124337441463,0.513397972795787,0.754699384386053,220.981247025946,0.523199645832891
10,20,22.5014529095428,1.43609670697107,2.2504423926852,3.07919540965945,1.93548087158752,3.35800273769113,0.0115252287586119,3.30346209079016,0.0139239562266763,0.023549849587571,0.800744789017045,0.0186411855083865,0.000780335075913224,0.854509154599033,249.673995064515,0.303071897506714
1,25,28.0225514404749,1.92269839676517,2.10792668262304,2.3093706093192,2.79214873035356,3.42108402611273,0.191946477517757,3.5119580669452,0.025263964930586,0.012811562339235,0.351918176076168,7.65996544889042e-05,0.0472516105084265,0.901028679381762,250.232124500278,0.316450792065365
2,25,25.9481918141512,2.13642909379246,4.44580364158633,2.35100211165089,2.88038892494991,0.0553371768403469,0.77488787144805,0.482434242945374,0.0139943438671078,0.831360930265247,0.211346634691894,0.150575817419126,0.438526902641909,0.651858505332746,216.258438017012,0.506543476730812
3,25,24.9028941567513,2.14443561525761,3.39102763484788,3.40872810564291,1.88008495292617,0.0250359886734929,1.63797727910599,1.00443668348111,0.100364661347897,0.995724535706531,0.399392400251315,0.0200981522781873,0.378782745996447,0.77320040716979,220.828680279695,0.471397387012573
4,25,23.5769691021622,2.3620842026079,3.75000305486305,3.50992465615478,2.87637845374942,0.0489032658734452,1.0534818584822,0.619754673005456,0.0052743128615977,0.809119330614255,0.874165625461757,0.122215249764816,0.480717018747119,0.698555663017578,214.468356378571,0.535447340510461
5,25,26.8293553237347,2.68986376025551,3.29504385190429,3.53121865052429,2.52860752365559,0.0404241795720243,1.18492049412811,0.649967006700815,0.123102930591907,0.682938281107313,0.526679488858285,0.00242568302701876,0.323340610906402,0.709049736755235,218.823154115903,0.53916004850311
6,25,26.0977966693108,2.46488703887909,6.4387490939756,2.48052015597027,2.10058147047579,4.78397435821896,0.146653036717457,1.24939249677395,0.0541761690095162,0.0740945784297059,0.944460697339858,0.0137295654045776,0.160477557885621,0.796882397476864,241.964849684676,0.512089325109172
7,25,22.7385910077294,2.60248071874484,3.46988344676924,2.98061883638945,2.36375320428225,0.14901110458955,0.614606154783305,0.956839408374135,0.0468395627272825,0.876175244527028,0.711181921399548,0.00560899371570757,0.700495375004638,0.72464542817934,220.395559333799,0.477580198820374
8,25,25.2209242566356,2.60985687840572,3.67178154445233,2.89940965602241,2.24762189783983,0.104474252628758,0.840771920469473,0.664263538335294,0.0380646916241482,0.47567676080907,0.625985439207462,0.040365554467137,0.371422089789939,0.690726197014551,217.119728247883,0.502863678980821
9,25,29.9365367778271,2.31195232302483,2.81129336651555,3.69237546196187,2.87356379184787,0.14410564310225,0.698793006344156,0.876833566036999,0.0277109997258919,0.576848042153648,0.401145507466499,0.0627691623983597,0.10697582193418,0.715678703983387,225.532392808404,0.419913228557341
10,25,29.4603259179327,2.36226214419299,4.44488008657317,3.05205454619402,2.33993325978172,0.0472604799226188,0.901205605535721,0.56490957714601,0.0751946148906226,0.918024291861523,0.771011423001593,0.0147620010104327,0.759772176223153,0.691285064719778,213.067896562988,0.524838499019879
