"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","OTHR","PSME","THPL","TSHE","sigma","NLL","mse"
1,20,15.209561903497,2.57872468395601,7.16898278513067,5.22726222375038,1.20133383644928,0.183312729198363,0.948602871267354,0.895406607257031,0.119300753179552,0.146653647663791,0.78690147569053,0.52160361905405,0.00107549395037712,1.18366511570643,168.402016016691,1.22279390949025
2,20,25.8614234107294,1.98645872112024,6.88295662108459,5.33580519890716,2.17802487392455,0.0347551232189269,1.1236147592641,0.383948431240855,0.213237079112227,0.540764472589413,0.874589390736426,0.482948014147214,0.0172896272883402,1.2219318097061,175.058643806965,1.66159775908006
3,20,19.9683093872198,2.33884875712161,7.87877703092742,5.83951723069798,2.8427907360336,0.0868311133786107,0.98293943111061,0.53659244456695,0.117143991080536,0.705924216916624,0.700610353343179,0.7252730057686,0.0163264537850562,1.17506059119464,167.669856693991,1.32732829916298
4,20,21.6578150945072,2.88975518565941,5.87049880676488,4.99147442833763,1.23813148501448,0.144189790248885,0.831964241592554,0.790067431366558,0.0533170952490658,0.0338153245288647,0.80425348910958,0.879705172606078,0.0121834769020971,1.27691461587947,175.257674780849,1.70750613044298
5,20,17.1544164243354,2.42406945418085,6.54330460895827,5.59877624682382,2.45829781527966,0.0783727271944328,0.929800647066115,0.50032072914135,0.0547855666983288,0.120137411878887,0.796795622168542,0.735292712952013,0.0364828761860426,1.14547990455016,171.386591692697,1.57242323492127
6,20,23.7102335315944,2.91938937759336,5.49078139411612,5.64969344296934,1.95445216138661,3.26667761073787,0.583500940655959,1.47144710775349,0.0120192457977919,0.132227794775421,0.220698658703008,0.139097723141431,0.00302957831306135,1.56048481838353,189.541793013611,7.59197243729384
7,20,20.7310281340826,2.75459599235875,6.23236205327179,4.77147525046865,2.45914509875259,0.032292950075941,1.09927910399212,0.295406085942406,0.0753281827633302,0.149859303577882,0.734117920776301,0.840207158598538,0.0178813065032776,1.09592771484387,174.775206120934,1.35999325902706
8,20,21.2259779896589,2.42092448408778,5.85483214192103,5.05444174429316,1.23071440783688,0.0722968702100913,1.19862391625596,0.766480978403098,0.0651251218461489,0.037598445815437,0.787524794390736,0.713853426940152,0.00848610157675971,1.33276046100729,176.31776676109,1.59511211856328
9,20,17.1450700025109,2.60758157685498,6.52703233591952,5.80601493710726,2.78767426551606,0.0809730934754122,0.917690977053812,0.595185569964009,0.139792193424555,0.111135076863132,0.796457668706969,0.923680205709407,0.00964489701122282,1.10485279771655,171.377520971306,1.35055693779727
10,20,21.3866210503201,2.19659930236507,6.68945176898904,5.0861327394656,1.64579332110025,0.0510596324653508,1.2490190752253,0.523319253539499,0.0973513382400122,0.0569703891631598,0.652726978073837,0.591939701479679,0.011939277776187,1.33148626702973,171.155534967651,1.2107069478671
1,25,27.5278025239377,2.98622504557066,5.80899012244867,4.90209997409049,1.29834335326892,0.3233706586971,0.955285448328763,1.07306714503044,0.0691332240652208,0.178824836946782,0.539761231059456,0.357704527904771,0.00924042862992749,1.47807929231109,181.88246250322,3.01526004586872
2,25,25.2470855644972,2.63533070498891,8.64796072068855,5.15093200480915,1.29006958161227,0.0364984691686497,1.24948893976919,0.496019898554566,0.23216563150347,0.753677026479398,0.919973558992804,0.799210346162269,0.0220606376742394,1.15204823168009,162.022359873132,0.852950358776687
3,25,19.3918074419078,2.42538448636522,5.19798649657963,4.69359512499479,2.83604641869237,0.12506499955838,0.565419985808971,0.58069464832121,0.0294552934886296,0.578227970558645,0.719619996762252,0.846825115440101,0.0448540438042576,1.26364513631874,185.543294338169,2.54380851812739
4,25,22.7026064819764,2.916736532966,7.68678941081389,5.48231071247438,1.71859306443741,0.131975832362045,0.800127181777519,0.523882972915152,0.0822039103154242,0.252267434966558,0.593224102856088,0.708518888721886,0.00949604160445863,1.26680565412236,167.319901835152,1.05909661395791
5,25,21.0669338672257,2.17786905982508,6.71037202093422,5.12486752075559,1.73631871984784,0.148929817014298,1.02633961242523,0.989832372724133,0.276937759145938,0.139862945459116,0.869981410965144,0.640274354280309,0.0016940774729501,1.20772581234037,174.106467900107,1.45055177258352
6,25,24.6240517395253,2.87576541535399,6.28433059833882,5.75842127770321,2.55697681658335,1.91762624731321,0.0403011263823761,0.985749686261213,0.0418682104510002,0.193049837525847,0.705154653104252,0.347356913930485,0.00146212201848589,1.30980932700442,185.812841386594,2.83203828260856
