"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
5,2,1,3,2,5,18.3878882540824,2.23962741744632,2.85935211166892,4.7174291833593,0.720556297901348,1.04977131255571,367.333760324363
25,2,1,3,2,5,29.8801032267075,2.32539632161099,2.85762919264205,4.70155491099937,0.821271635526282,1.03190264518511,366.123812174898
30,2,1,3,2,5,26.6544444607893,2.16227444920897,2.82963448611514,4.686098396707,0.822535573015568,1.01862033563503,366.45487348923
20,2,1,3,2,5,26.0279270175191,2.17219611527836,2.85509082331671,4.68050564334674,0.797966817876266,1.04260637415602,366.337805463807
25,2,1,3,2,5,29.3207831814389,2.43608242223909,2.85919736518115,4.69543383977544,0.773082399042509,1.03842672261643,366.148306807711
30,2,1,3,2,5,29.4631295815493,2.55964786727002,2.90764101465349,4.70804458292145,0.736350679147172,1.03775235854483,366.241790383653
20,2,1,3,2,5,20.3841123075506,1.98591853676296,2.6279540108756,4.70985598911089,0.876774278844133,1.06102437967735,367.620050970104
25,2,1,3,2,5,25.7714652876422,2.18509268219171,2.97697329410604,4.7014966545414,0.767546593674437,1.03669811419499,366.324399331321
30,2,1,3,2,5,27.2860849103236,2.28824479814478,2.99462405759981,4.67933721810384,0.763476006681504,1.04418193928566,366.318045977791
