"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,10.3168623876229,2.68090149918984,2.41539604269487,4.08014317018964,2.62012540763564,0.0365143026177074,2.42309975834666,1.54409360999223,0.422700063258893,0.0322415218714538,0.593803599094033,81.9577216379015
15,2,1,3,2,1,1,1,0.5,0.5,5,12.7591149528104,2.96382484804127,2.75889698308411,3.1410423060415,1.83827909850631,0.166491031876579,1.4875771475013,1.09056559585569,0.244667026936643,0.0341783397827065,0.594446743035347,82.6276464702703
20,2,1,3,2,1,1,1,0.5,0.5,5,16.6383882610952,2.73466036926263,3.02721893640071,2.82520958074162,2.79653059651417,0.0103415707244049,2.30366908132046,0.983225777576914,0.978704122034881,0.135857733041744,0.575232913299008,80.3410288230374
25,2,1,3,2,1,1,1,0.5,0.5,5,22.213768805411,2.8400775495919,3.49686318305788,2.8073975294526,2.3111492818148,0.0467519603824444,2.29332146542514,1.09089024093492,0.29724144674808,0.0331429493702972,0.568273536995581,82.067704679778
10,2,1,3,2,1,1,1,0.5,0.5,5,6.74634566342788,2.23011947271313,2.06481250462155,3.44572614247309,2.76416505602159,0.019120419402637,2.21565597576135,1.44163454180607,0.991576130759993,0.00615888145614867,0.582347999060198,78.9442172048646
15,2,1,3,2,1,1,1,0.5,0.5,5,10.4865705577193,2.46332289400382,2.86976828448365,2.85023651766652,2.80562497679314,0.0386363715209328,2.13860763089618,1.14527099984543,0.445053247092168,0.08615768118489,0.558510047624707,80.4350924440989
20,2,1,3,2,1,1,1,0.5,0.5,5,17.6617706173613,2.86045579856376,2.15504099089819,3.36380824388316,1.26990614117038,4.31510389619618,0.335345553137482,2.20220651125019,0.0687784405429619,0.0101874440479954,0.679878595505104,94.9656588187808
25,2,1,3,2,1,1,1,0.5,0.5,5,23.6978290880949,2.99760805446958,2.48888380465685,3.73161153489333,2.95002680672946,4.49325835697475,0.375938478611545,1.03834150884061,0.0347586639591877,0.00655202272067538,0.672657657407393,93.0551467666252
10,2,1,3,2,1,1,1,0.5,0.5,5,9.50652134351558,2.57319013379263,1.79616264272049,3.99307501033169,2.70250358383622,4.67351676707343,0.508121995557585,2.01886941782306,0.0538546385505993,0.00407172239186853,0.60611818719795,91.9720944674413
15,2,1,3,2,1,1,1,0.5,0.5,5,12.1555041859316,2.74806360996031,2.18516947770019,3.42112440895479,1.95843790948337,0.0645118659147841,2.4312556698924,1.76972342544335,0.30358961029104,0.0189482055599928,0.547752593378081,81.0743527219644
20,2,1,3,2,1,1,1,0.5,0.5,5,21.4405832134688,2.71373994080905,2.09494966298915,3.7760074064864,2.67138171759562,0.0297232730755263,2.47342580308889,1.88390793967141,0.622315435544978,0.00627920177912434,0.578639421889844,83.4760305178563
25,2,1,3,2,1,1,1,0.5,0.5,5,26.8675536460794,2.78045123875724,2.51373627646328,3.38709262046088,2.44206557899195,0.222988390150074,1.99049042056866,1.36773318737874,0.104779819958614,0.0022178074293302,0.602571159209542,82.7477185190221
