"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
25,2,1,3,2,1,1,1,0.5,0.5,5,25.1816795647735,2.5539101139259,4.5975130291267,4.28862612944164,2.95252908157829,0.0178672403366473,1.10908589315271,0.563801908208704,0.992382899353099,0.341162140643821,1.2550914857145,1747.9813457191
30,2,1,3,2,1,1,1,0.5,0.5,5,27.346384085419,2.54695208077823,4.28170812731306,4.62028651594235,2.69635588136249,0.0298586546154449,1.08543228651419,0.588803659065016,0.600729777313294,0.166775107862736,1.32293819613994,1751.49667340926
25,2,1,3,2,1,1,1,0.5,0.5,5,24.9846578909286,2.3349553272192,4.71965031565013,5.03468663358547,2.3043015595407,0.00607768702166542,1.37659127423839,0.40608400294487,0.981281267786193,0.624778591081793,1.29773191644893,1747.96144522262
30,2,1,3,2,1,1,1,0.5,0.5,5,29.1218216058946,2.63002621487905,4.50209198297538,4.96689881443345,2.60234397513101,0.0376530428158786,1.25704782738792,0.497762749613656,0.256177097291559,0.147848941390031,1.32249434432306,1748.18075830879
25,2,1,3,2,1,1,1,0.5,0.5,5,22.5376939968324,2.57638364029511,4.67137596602454,4.8514827816019,2.70632578528548,0.00790456392369797,1.35059712535079,0.377907590569099,0.974437823165802,0.569759410148033,1.23241999993395,1745.62014468394
30,2,1,3,2,1,1,1,0.5,0.5,5,28.9115496354667,2.66863058063773,4.54188111069718,4.42184916308653,2.56547689370542,0.0727705866894899,1.22906762978616,0.621203008207849,0.194419692828363,0.102759403458359,1.32840214983159,1747.51160280545
