"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PSME","TABR","THPL","TSHE","TSME","sigma","NLL","mse"
1,5,4.23248744097462,1.10759103245537,3.85531396687342,4.07301288704139,2.62555590431093,0.222117713297549,0.882678339576797,0.967138443165771,0.119589338165038,0.290652943491392,0.727670972005039,0.27587279850966,0.262681442862877,0.154118029108551,0.110485044310018,0.835110819190837,0.949755460763746,1592.85173877864,0.640346985494546
2,5,4.7935887555362,1.08624388752989,4.47040954992305,4.49766950927536,1.43767970486054,0.318203828163845,0.500333413931957,1.08124950044959,0.188784656112827,0.464686016944931,0.547644456829491,0.868948573563872,0.349205846179277,0.650361011192575,0.131019723077909,0.530138191737347,0.910664574634289,1559.26731128125,0.640925789367467
3,5,4.41257757137532,1.11503668536354,3.54614491271728,3.59212017830768,2.71021607635249,0.415459613511676,1.22498394573818,1.65420275866724,0.124317144655596,0.254751644923332,0.46936726647353,0.146328562266357,0.0297252920562478,0.34437940539392,0.0594919485294508,0.369507257468496,0.981354067971634,1627.05854377784,0.702715019135855
4,5,5.26904482004992,1.29974548552108,3.98644475363658,4.61730350227049,1.7235112221084,0.282497086510264,0.247084777880038,0.946699999965671,0.175440918651295,0.526278722046153,0.442159400847451,0.98700014644072,0.574363681842034,0.368286795425748,0.28258459000222,0.925602632378101,0.907723246012274,1570.83996916599,0.665261488800595
5,5,5.26610275599161,1.17901593216981,3.85062337079948,4.15951456343808,1.06959565090128,0.182555838794477,0.486831765905681,0.989458481501692,0.20456899483763,0.55668319237356,0.56882973775711,0.721592842703266,0.708698136012035,0.704254173788172,0.14648924067716,0.466568316155663,0.926321673233643,1562.94564544734,0.640376215551695
6,5,4.9523330593779,1.12888352453411,4.56030510516605,4.64030158195666,2.021335236847,0.38107938798924,0.50923403733444,1.12122153602839,0.157310025716579,0.488749391539657,0.0120851579413558,0.806548780351372,0.568456979387758,0.563133364424346,0.272188377024177,0.742387741665038,0.943775001701231,1564.0461888676,0.639622768270445
7,5,5.89437209613708,1.34487437339027,3.86975234188627,4.31702060045281,1.13774435582769,0.27508312477968,0.546013640914643,1.23905530791711,0.192296486003325,0.595567092600148,0.886252328162978,0.732165930801902,0.817286768990122,0.538510947549668,0.19292441226164,0.374648411273625,0.897097486737592,1562.88657372978,0.664770329255175
8,5,5.70213683512611,1.280900144081,4.85524041152044,4.28801832262585,1.07601395257606,0.151495863582915,0.706722680367972,1.00509297991446,0.314975074944647,0.754522466462583,0.162962677442203,0.783359115825202,0.015824725481375,0.567615188400333,0.225409023871856,0.887235742120063,0.849033550756751,1551.34867440937,0.654628146002738
9,5,4.81951876373901,1.23780293747819,4.26916042522723,4.53518016695802,1.7004959782157,0.281360781733318,0.604957506094566,1.19968945790855,0.277595010944213,0.571043037438102,0.403289625152602,0.853711939846627,0.555757805803973,0.931391980273112,0.32973199723161,0.880978701549071,0.886519782297945,1572.67778117141,0.629984281116281
10,5,5.12635607165914,1.18546213291602,3.56018515891339,4.1952046339733,0.954594841475793,0.146948600426995,0.858338127301,1.34034958778135,0.198527530112335,0.738655269831181,0.193713070442939,0.30409504736099,0.656242925159923,0.617033973182939,0.160060596103263,0.932388516245135,0.944282431518055,1565.80554330097,0.65485008971546
