"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,0.5,0.5,5,14.4046525178413,1.44935095417391,5.00173396428706,3.33203298972738,0.919114822060946,0.151722226965752,0.591289558091522,0.498998070701466,0.486185537348282,0.016208118247949,0.725864667513266,245.458510991767
20,2,1,3,2,1,1,1,0.5,0.5,5,17.8656625254079,2.94062443084726,2.44155691508699,3.5359067208754,2.24825445938392,0.0267238276866167,1.4206535425462,0.554546583192792,0.666383147745103,0.00482478836684201,0.678610877675391,248.786719501715
25,2,1,3,2,1,1,1,0.5,0.5,5,24.5362052249029,1.8891082621671,3.65002417058222,3.60493085206448,1.98673138377178,0.0157279579063496,1.18156044692424,0.100522768576636,0.870926868270587,0.000437790784077123,0.726201296939196,245.532155524728
15,2,1,3,2,1,1,1,0.5,0.5,5,16.311965679552,1.89629678496823,3.35103121697102,3.72707074759869,1.83096688263787,0.091332381460518,1.83010648107796,0.562341924996787,0.1369498908778,0.000868347458616654,0.699108195263045,243.079284834559
20,2,1,3,2,1,1,1,0.5,0.5,5,18.5260931083614,1.86458860768614,2.84950159675642,3.26679294607652,2.33574263096423,0.0444655098428115,0.845811889685483,0.544266896523695,0.808378658444257,0.035415112154938,0.670350555610176,247.627599660115
25,2,1,3,2,1,1,1,0.5,0.5,5,29.3134896930373,2.33833786006734,1.81437810609632,3.17484228083877,2.16896797802766,7.14479017066166,0.343152121688102,3.47987408701854,0.0130045451546975,0.00186476210574911,0.797469174155402,271.309520350938
15,2,1,3,2,1,1,1,0.5,0.5,5,14.3791807804099,1.97261310678852,2.97056893680063,3.37589554973299,2.67290941963416,0.0274838513918259,1.83195328032903,0.754228242149696,0.552519627190212,0.0690447468832587,0.760145720354452,247.064410277402
20,2,1,3,2,1,1,1,0.5,0.5,5,18.9195861894609,2.01849310989804,2.98965869567811,3.58937565678232,2.63912486015745,0.033578877530342,1.41756538226783,0.426576815114028,0.425976257372453,0.0257222544635333,0.720833296590109,244.915415261811
25,2,1,3,2,1,1,1,0.5,0.5,5,27.0800464184858,2.3653071482892,2.98086584897252,3.57013058825619,1.53739066487273,0.0501501810342258,1.91605195347513,0.8961882788955,0.253808453309955,0.0142790354931558,0.700231281566201,245.846310050469
