"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
25,2,1,3,2,1,1,1,0.5,0.5,5,25.4061899149135,2.4837675019927,3.59231679140796,4.98361278427873,2.33811962461038,1.75746047128138,1.26408749775,1.56389222874426,0.022205345431928,0.010306205736735,1.28323226408165,1798.89878215983
30,2,1,3,2,1,1,1,0.5,0.5,5,28.4386972854077,2.58433887175556,4.75532651429151,4.79789880598866,2.47646765422806,0.0306557369815637,1.33884646365241,0.971025670299187,0.794077320448427,0.339706406430808,1.30836267269155,1774.18031357053
25,2,1,3,2,1,1,1,0.5,0.5,5,29.9541735963479,2.68464815848506,4.54076929100874,4.94311700992845,1.55869009823255,0.5763342425669,1.32685712444221,0.989751053114711,0.0252812951242535,0.0234888266422353,1.35677363060751,1784.59149195147
30,2,1,3,2,1,1,1,0.5,0.5,5,28.6726100486671,2.57409279065091,5.49707073093553,4.48373518708884,2.27512419901711,0.0480104594462594,1.27400957725419,1.06160999788635,0.842970499352419,0.412814257291243,1.32667297458951,1770.83671282777
25,2,1,3,2,1,1,1,0.5,0.5,5,22.0615306944639,2.31228186561629,5.7180219260761,4.83186816120723,1.77971736124474,0.0691465669653626,1.36354458327206,0.823193651270865,0.287551106009138,0.177011396704157,1.37644066904404,1768.72163635091
30,2,1,3,2,1,1,1,0.5,0.5,5,28.6353600434379,2.50668341800614,4.79960694082524,4.86520897095457,2.14981955027496,0.0385715217375333,1.26662762840811,1.16341337770917,0.909484939658974,0.502893135897411,1.34612878635943,1775.64768583754
