"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","lmd1","lmd2","lmd3","lmd4","lmd5","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,11.3730885953891,1.73536474489996,4.90290755493096,4.81725954117659,2.0812001296475,0.0369083095880228,0.780915374940864,0.227926984761028,0.145658236541435,0.769565654067384,0.601501919657125,0.917833126996975,0.0157002956989429,1.39856714160042,205.182237327526
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,9.98866823768819,1.47507463053902,6.48097388605302,5.11736525892515,1.89662247267439,0.0147735271847732,1.25940705371325,0.102810883873285,0.267641161597567,0.340123740377406,0.91660078145438,0.558268003298361,0.0915883269458933,1.31575409368827,198.576835599622
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,27.0020058503333,2.27448509637518,6.91408023233421,4.93790686926129,2.22478321168994,0.0253989401989925,1.303836809032,0.263206732355205,0.183175099799284,0.0334375080134522,0.526727610437061,0.546268472979237,0.0642763912336742,1.27007460199904,199.453156056928
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,5.37710653932455,1.90767273423259,7.06047531841401,5.25848515715834,1.28139416935576,0.0524977653913298,0.993174769116702,0.428356580548547,0.11993799564613,0.663762366496901,0.948364284849669,0.704470977971354,0.0580433600931244,1.33202284962549,202.050244806261
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,12.4598173110984,2.35056780316615,5.62352178854782,5.26087516490222,2.00816958794474,0.0330599812373027,0.839863465084218,0.144786477932642,0.195012450807479,0.147164663086297,0.753503460941951,0.680149338723579,0.0720786816367678,1.3178118224614,202.407944029971
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,24.8495274985115,2.22068336362109,6.52030112911367,4.65455501476832,2.5154450582366,0.0492818199312024,1.06493199488952,0.450622125962236,0.147682067352461,0.728206840543396,0.839841076468393,0.653947785069578,0.0247427841176042,1.29495640197657,202.132693006243
5,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,7.41794298227862,1.34397790724364,5.88213122152619,5.86551013143553,2.76632350593301,0.0412411347666077,0.797298091274569,0.0548304952773682,0.0885768314902616,0.0257546007294566,0.470142301609927,0.523328591403677,0.0247735544617961,1.29888091537858,200.684158418694
15,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,18.1246439649388,2.74532120359294,6.60404886101297,5.57667865208261,2.44420739206484,0.06811143253907,1.3245231254797,0.786581510284959,0.132003349521932,0.0666756976005232,0.65381028967322,0.594703218245961,0.0725041365408941,1.37165286135563,202.21100333908
25,2,1,3,2,1,1,1,0.5,0.5,0.5,0.5,0.5,5,20.8766147038261,2.20114710400152,6.12925219675055,5.12416487538662,1.58090428364245,0.0337742562218764,1.44271667526771,0.794581254590583,0.258398834787302,0.829401209767562,0.865312319779603,0.740651443688615,0.0540361670709686,1.33434801201124,202.586189314571
