"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,25,24.3351060230251,2.46020156980992,4.27125570557431,4.57790783077625,2.38953347139402,0.0109925334553041,1.02840998912662,0.574706935984413,1.25340331515431,1575.71304815368,1.86272165725213
2,25,23.8457160455113,2.60454305868812,3.60901952870527,4.41692901390271,2.61806786732161,0.0446772000052985,0.758757359378566,1.17423154780612,1.29420370262391,1586.62771040132,1.94589543387024
3,25,25.226576297785,2.81897958174514,3.84647217665931,4.81629793200626,2.61355392574465,0.0206011098264159,0.911339926484066,0.79469185763939,1.25486145957311,1582.82495110635,1.89676544856646
4,25,17.766163727009,2.20594510019235,2.81930802984098,4.66887784691578,2.49102234239422,0.0407656871578126,0.807582303979716,2.3798597154261,1.31636092734761,1600.60603135077,2.00047950722562
5,25,24.0885815448879,2.55149931057037,3.14391770105724,4.62894966787982,2.61835708192755,0.0362084145847818,1.0226390821611,1.66058454195892,1.29524234075715,1592.79734471726,1.97048828354982
6,25,20.8239023014647,2.96167232669876,1.91367202647112,4.78118081830642,1.64305665147202,0.000398645769499252,2.78391767184503,2.66701462406554,1.5049093305269,1658.97891962605,2.34225318326227
7,25,29.4625834315651,2.62239322932847,3.52870672826963,4.56395339843009,2.6860047626655,0.00385661186281841,1.31585680696002,0.530055476185901,1.35333308137335,1583.44684840833,1.91670626211495
8,25,28.3248103091021,2.70603869089869,4.40803459151437,4.51954650122476,2.80204888414307,0.0106157746061402,1.19895875888637,0.652638388252789,1.27843172476945,1574.35779099407,1.82760722409882
9,25,25.5789354426033,2.67876340468604,4.23933724419616,4.64942616813531,1.92769954346234,0.0161884272342796,1.03461437315531,0.735328738344327,1.3073711350978,1576.46510434661,1.8843811442785
10,25,24.6774746297636,2.67945050420708,4.51808500249047,4.82165359253768,2.55695844260263,0.0146381353628426,1.14351791829973,0.705227211976287,1.33111251611333,1574.51137614012,1.82855808688803
1,30,29.0587049364901,2.74444801042243,4.39901421573226,4.89395697652466,2.77105504089693,0.0226598842059805,1.06079530386253,0.917447539866956,1.30794410778193,1577.24981276531,1.84980757966665
2,30,28.1659554477629,2.66993816544794,4.379556762556,4.77471954499409,2.90118062146432,0.0138218359902072,1.01678042701492,0.605232439331385,1.29844802397332,1574.86551844419,1.85766862660834
3,30,28.5189218537605,2.36035455459591,2.91587461508902,4.60419119542868,2.44187773637652,0.0100920648524868,0.556645395639319,2.54534775587895,1.33124336885043,1601.60763323545,2.0264290404767
4,30,25.7845978178671,2.32237677747814,3.92158566192184,4.94262078086599,2.58408438681078,0.0049481923881519,1.21081875587537,0.551867533707228,1.30351643061628,1580.28766679543,1.88396766389459
5,30,28.5415657796975,2.87686601582879,4.46101231961072,4.6434386275805,1.81730901673222,0.00852530426755062,1.25305984792192,0.563598680788017,1.29874516309549,1574.93896100982,1.85252985643212
6,30,28.4241406759003,2.75979696046813,3.74943135360362,4.58959689817279,1.77069258561173,0.00566711645616525,1.11829869379098,0.47901645438626,1.29472804455521,1580.51264885007,1.91922575107261
7,30,28.2873574627996,2.68434561046108,4.01569938606085,4.87009745869809,2.63014719188007,0.0125191422823098,1.20004557849491,0.804457721312779,1.25018660268012,1578.21202965997,1.87188724999096
8,30,28.3643563872929,2.83121133735675,3.80343387103353,4.95080811290775,2.08453763947792,0.0252417396589187,1.1446272098089,1.23543090308312,1.28203234169286,1584.58515443049,1.90872870489831
9,30,29.2577059784342,2.68156410366114,3.49039749765694,4.28531818766576,2.19109921983393,0.0807275550429524,0.579039332330218,1.59812326714259,1.36293092916359,1595.58259279316,1.98647056985612
10,30,28.0901071634182,2.65087768766925,4.44558065198454,4.79795551451959,2.44339509542525,0.00712025227809659,1.25505514612125,0.503558140171038,1.24684245322768,1573.28799678729,1.8302220959875
