"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSHE","TSME","sigma","NLL","mse"
1,15,16.8003407233625,2.41983182130376,3.8424147288393,2.97967174107096,2.11417499537653,0.173301875954432,0.499402240579405,0.632468731989962,0.060685210131647,0.556584192043285,0.280737168892241,0.162609026058274,0.482375431922412,0.703210033658316,210.449513536423,0.240951748521479
2,15,14.8697473314716,1.87231915348424,3.24084262769487,3.57464143710528,2.84504709073156,0.0836978770544129,0.673298018606452,0.795332368436646,0.0614508128740805,0.864299553379263,0.918304880299667,0.00806868608654643,0.937571586707331,0.716577914414635,215.658388533724,0.236092264773986
3,15,14.426042867786,2.08241823127004,2.95193988547222,2.7928271299649,2.11991011979159,0.0650817679782736,1.09811468656027,1.09647094392165,0.0423581136991973,0.896880429264213,0.320764368585013,0.0167115680147791,0.750936565939596,0.658681158697527,213.946036479599,0.205913638678846
4,15,17.1051788971848,1.91809503491174,1.87547993058637,4.17886709727058,2.88470995477925,0.022477161423137,1.89321967526562,2.29927372295205,0.634090402351283,0.92210862484016,0.90329341705762,0.847051141396477,0.681430801479602,0.739671586925496,235.323334176911,0.236366458600149
5,15,13.7330041518934,1.99904209796187,2.97737648812388,3.30835111717526,1.90530956120584,0.069817837562723,1.196435136492,1.02137938729387,0.0873329448437308,0.782510609227284,0.661348783069418,0.193497923437955,0.266118725958609,0.714718116520974,214.765782624426,0.1880929955307
6,15,15.4016363885676,2.08504732341821,3.8780482303808,2.75264764042323,2.68956404381767,0.0457002553305353,0.946035964154645,0.543649766412046,0.0289400317109411,0.987216361656131,0.482433324624664,0.124652114977078,0.509705748717047,0.65130303528486,206.861182008791,0.20879672960907
7,15,17.242373313369,1.75100013392971,4.82219364648089,2.95634024533781,1.87449025145152,0.048417569294255,0.912613545874517,0.531156409138502,0.075998027208586,0.932629708212971,0.128373690143892,0.0850343408656029,0.694990932729618,0.710312821471696,203.820173408213,0.232222059447163
8,15,11.6302751040344,1.767373847696,3.44514899920819,2.72774539179589,2.98839028636947,0.0496025465059515,0.521513223453848,0.419832985955888,0.362013983058314,0.929669369214765,0.310715341813024,0.0825280454691505,0.869407859970409,0.669701164851671,215.101060856444,0.23835638300862
9,15,15.3756692513916,2.00095389623969,4.19559168726215,2.57911531076477,2.21797885453246,0.0562007039971314,1.05568960326547,0.774477240564773,0.0862538671273018,0.904356398983057,0.509226296620618,0.148749421343684,0.829488730451586,0.733278139416983,207.626767706095,0.228386102818439
10,15,17.2499501349421,1.8191474713959,1.60748959924183,4.52031334484542,2.71950150174194,7.62960166480553,0.0205143439894496,2.99130854941951,0.0342288041060774,0.00580058360188432,0.153251261659624,0.543629061972823,0.0129570501218536,0.798812544287407,243.274162142149,0.310010390313339
