"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
10,2,1,3,2,5,13.015266183847,2.96072520133056,1.47857368886749,3.74825855973642,2.53082515905584,0.545998157883265,74.4150789326498
15,2,1,3,2,5,13.4314460972803,2.96084190102566,1.46820145545922,3.61843102574651,2.71421589201797,0.56261105724426,74.4061463760329
20,2,1,3,2,5,19.2509419584093,2.97916610235313,1.61744567934202,3.54116455622892,1.84674052072174,0.543166846686713,74.7491934208545
25,2,1,3,2,5,14.7885827225138,2.92275599994525,1.47651307303057,3.76665712068976,2.90414311924417,0.549526947418269,74.4741464361022
10,2,1,3,2,5,14.0187668334896,2.96728175540994,1.43982655147536,3.59008007702402,2.4917699277827,0.556974295356702,74.4805512676293
15,2,1,3,2,5,10.4657210652888,2.80911140931524,1.40824849528303,3.59131151139349,2.78606154331549,0.538810710864285,74.5385116761952
20,2,1,3,2,5,19.794561790287,2.95149177029824,1.5884359482773,3.5803375992614,2.1063442690295,0.573635575989907,74.7714954932313
25,2,1,3,2,5,24.4798687726366,2.96035914096749,1.58684185123705,3.56267979062472,2.2347537011826,0.55954480496436,75.150223955048
10,2,1,3,2,5,6.93830549059661,2.78741986475688,1.39460345132965,3.75910856945551,2.5978482563353,0.562261400988627,74.5037113177057
15,2,1,3,2,5,13.7060290360184,2.9754583870072,1.47158082664357,3.59251141202718,2.3564884081461,0.559660362561594,74.3616307389981
20,2,1,3,2,5,11.5538257211878,2.86873194483271,1.43560011055513,3.51934531676758,2.6320294973907,0.563422222753877,74.456974430412
25,2,1,3,2,5,27.2949066266289,2.95409301136358,1.65276472446585,3.78755558910039,2.91103605502034,0.566395554667884,75.1991322846487
