"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSME","sigma","NLL","mse"
1,5,7.60311854441452,2.85412595768189,2.63618706935229,3.53800939916626,2.13219374620594,0.089416145538933,1.5856946268315,1.41298796655386,0.00178771153760389,0.0841657023542535,0.6397752376437,0.604458381288295,0.588837405953188,75.8717257093605,0.341638585676283
2,5,2.93188360038703,2.11898875911175,1.73043894944544,3.51552762826598,1.90916694363834,3.10846697648857,0.485956855384657,2.4267618641867,0.00443616770978963,0.0148772234807558,0.497354049912349,0.106512372919721,0.62451125758523,85.5592938824542,0.259003592494974
3,5,4.36270970265378,2.4370292345641,1.9996934451401,3.15538871460857,2.6986594251227,3.34694759694493,0.44123457714592,1.61902106415462,0.0139293511368287,0.0366315351041355,0.0247713057980758,0.0802390518098053,0.590256053149163,84.6463417490696,0.298413792137306
4,5,5.46538858473351,2.27306231336618,2.20550931393728,3.32275650386491,2.33040890933793,0.0443368044545854,1.48124119293654,1.30802771338311,0.0851196255532731,0.281571700435742,0.627510453902299,0.95045747351659,0.514850365615804,75.8891973101676,0.252856055951945
5,5,3.48344958850805,2.42516885879641,2.91401287303089,2.95176499554165,2.46463464376409,0.0433483718159024,1.94932062328543,1.1838671690312,0.0177331183112064,0.199714173473154,0.573762830667677,0.564743334370733,0.546685654555948,74.1245862202678,0.293618999287549
6,5,2.21732393319134,2.30711545021634,2.26629292925391,3.41838211326327,2.50242100284799,0.0510601435679143,1.80322023901506,1.51013897963013,0.0225878301015215,0.0395695292671914,0.526494784329456,0.640922816645778,0.640950345477501,76.3591139956576,0.308310563907233
7,5,7.99743670473339,2.64448177259402,2.17287792996276,3.36251187880501,2.21634617233335,0.0572767772759954,1.75348518378468,1.76850114357813,0.0244379698437498,0.164524173894226,0.619664207934581,0.925378802563617,0.541229179131805,74.7455313246417,0.327022299874576
8,5,3.74439771891831,1.55565885460895,1.96444503874343,3.7533605188908,2.6411543052545,0.0344561820126999,1.74424977111478,1.65285789783697,0.0431047275357766,0.182973109480873,0.00501871728579211,0.827812369447858,0.579163502227621,75.8637158020407,0.255927090730292
9,5,2.9535859863575,2.39035144692144,2.18227410277325,2.80998287877763,2.65222136673265,0.0265059142411958,1.97726280987289,1.27277211974892,0.00976207470935037,0.148945025879109,0.253463969296321,0.75690196377384,0.532293089353747,72.5448315726752,0.252285246969029
10,5,2.96324599109822,1.5481999432818,2.2550719893428,3.43900538972844,2.28768319329551,0.239322516286805,0.581845525209211,1.4355607978282,0.205719762117186,0.191676929272831,0.246663454774676,0.597648915474384,0.596040966362181,83.8017767841924,0.317681459447753
