"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
10,2,1,3,2,5,5.45450600387338,2.30475855794161,1.46394589056475,4.28833032325917,2.9698690186724,0.631387650229583,92.4689876235002
15,2,1,3,2,5,4.60493560023576,2.24410851269395,1.44546058143763,4.22488470093762,2.95434099326624,0.638123579614104,92.360475276695
20,2,1,3,2,5,17.261881869845,2.99349012885408,1.61942915052967,3.76657304675483,2.01313848482478,0.646351357568919,93.4728232056595
25,2,1,3,2,5,18.5419270074978,2.94504143152184,1.57941107939441,3.9804394073125,2.71774554974989,0.666709923534187,93.8122517595329
10,2,1,3,2,5,4.93849301390693,2.5272598708096,1.40695098619711,3.79940410836689,2.42183253143379,0.640820982877479,92.3952903340388
15,2,1,3,2,5,14.1373851848335,2.98978666026816,1.52486801702528,4.02106159864554,2.91869049456936,0.634393117436253,93.1746174025287
20,2,1,3,2,5,19.092486266827,2.96836085725062,1.62665089941563,3.58874132947795,1.73174037216107,0.64755545262331,93.7842466097421
25,2,1,3,2,5,17.2661748097669,2.99368156105983,1.51766930313445,3.81745533708212,2.72857439222661,0.661709563840687,93.6350715919798
10,2,1,3,2,5,10.0386266419588,2.92600059645159,1.45022040873495,4.0926449230586,2.83597238640137,0.625222947368493,92.7625907981484
15,2,1,3,2,5,13.8082957190119,2.94623055250178,1.50149388655356,4.03857182767813,2.58841545399787,0.661074684798339,93.3163490074831
20,2,1,3,2,5,18.1986907952691,2.96170599590624,1.57501115033272,3.98059425093133,2.65716644464377,0.652475789455831,93.6213272550871
25,2,1,3,2,5,16.067618368772,2.97433739935854,1.71512093863307,3.70597210435395,1.64991943792003,0.660801960651133,93.8322872797322
