"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,5,3.70285473596463,1.81614352231616,1.48437822640291,4.49646864499647,2.9004292392359,0.595635984267864,78.3258182036966,0.13903689450103
2,5,4.11455479413643,2.02276202595066,1.51573524463945,3.72854665790521,1.79722323773974,0.586300878431213,78.4334801533955,0.143673454570101
3,5,3.63346986550415,1.46268911459202,1.62792425825473,3.89351959944061,1.84070181964622,0.585891484559873,78.3246939248573,0.147379626081242
4,5,3.70175598269002,1.57775944152155,1.5275813239717,4.35980656840006,2.76618957028276,0.594230490531077,78.251583074284,0.144918510693995
5,5,3.89324786267499,1.8052729362872,1.66711770501381,3.62640997125264,1.37121502814393,0.59078309250039,78.2811186767965,0.141826226400308
6,5,6.21001273443474,2.71192341038843,1.55567330530583,3.5776310139874,1.40169195893116,0.582044766258324,78.8496169256832,0.131871148792333
7,5,4.10354896359979,1.81489616263659,1.54830204378301,3.77881258385702,1.68306382018528,0.575932377299036,78.3094949907756,0.133262564812024
8,5,3.54602750665242,1.46732641280441,1.55701823671269,4.07438336743811,2.23240837950364,0.585477991242165,78.2739039410251,0.144727794615178
9,5,5.62021158036676,2.56995736052842,1.46742113464712,3.96732854520954,2.01889777499637,0.601135786664952,78.741656791844,0.126728703641323
10,5,3.64343825058326,1.75291165523264,1.533998025933,4.1250553169831,2.21368792724723,0.592683526757371,78.2958366642767,0.140280055147883
1,15,8.26033625552759,2.93197701993462,1.43133415817478,4.08480957279583,2.34568981892391,0.600734322441447,79.1037218144093,0.123378866217757
2,15,6.45284163746155,2.67202923937797,1.47127757718951,4.40563437746821,2.77611371445677,0.602691765173802,78.8584497970629,0.129351824557027
3,15,4.30552942235743,1.72442279233041,1.50575809715116,3.84020803946066,1.87686612698744,0.599915660118497,78.4271466569369,0.130536713689251
4,15,3.82560304184342,1.47222440096616,1.77564491418944,3.53864623653038,1.16081883793384,0.585811841750232,78.3460781629222,0.13631459647647
5,15,17.8453560000097,2.95045650995489,1.62670923220956,4.38791044350865,2.57472598352055,0.60749476261916,80.4171346354595,0.11158552676015
6,15,7.31812385883756,2.77203995819407,1.48379191683237,4.39319410611144,2.74698745491563,0.593248057899234,78.9540480114928,0.128130931488269
7,15,11.0691954013975,2.97354194018833,1.4914928378906,4.00232076911099,2.25561125789515,0.595142412011361,79.3511854074362,0.123081430731824
8,15,15.3326238895874,2.9667877193958,1.52207410736761,3.88250842727168,2.15475550225625,0.587511681797289,80.1038422455446,0.120716544924475
9,15,11.6855221100763,2.9774277055779,1.50087258394342,4.48703465504631,2.7920507398234,0.592790264974619,79.5212537747384,0.117039605816542
10,15,5.30781053781131,2.28800164874342,1.46556665606654,4.61385332606082,2.96132949699053,0.589903586384944,78.6764017766057,0.1261850895455
1,25,20.6556901753657,2.95587660229161,1.63723409471125,4.14525092253131,2.38355101124243,0.616556427030876,80.7451935502037,0.113513957897528
2,25,25.6503346088031,2.96819938056644,1.66396590040527,4.3028997890331,2.75054710458383,0.609889409486646,81.3153385498981,0.113924470109467
3,25,21.3679491167467,2.99644698180988,1.73225769423642,3.80399413079236,1.61222465573439,0.604244922262084,80.860594778601,0.106877745228605
4,25,26.0548020170434,2.96263857343684,1.70858106040242,4.05972829789822,2.34478262624283,0.600029630839049,81.3987988612219,0.115608275445529
5,25,25.4377122619822,2.97181381920532,1.65069270437506,4.04852776442054,2.37996375460382,0.595685480357714,81.3411154509748,0.11424183184995
6,25,20.8635029494888,2.94203632068005,1.60840996509564,4.58740942254066,2.99019250576674,0.622062123949888,80.9872297623885,0.111024094600974
7,25,23.5229282246179,2.98813967822058,1.63017065415532,4.07044714686828,2.2972193911645,0.624792983083702,81.1083241845529,0.111286136630515
8,25,24.184603129499,2.96334106598992,1.66937867143984,4.60854321289302,2.90803870660586,0.601385650353061,81.2831142349646,0.108005765664126
9,25,26.0954676768252,2.99066115895765,1.78452239723145,3.78411694597471,1.6462725370904,0.619030476637805,81.3400728321617,0.107674133828617
10,25,27.4892017578343,2.98598384447101,1.71411155963213,4.02734428199559,2.49501043313932,0.606749942923401,81.5975812578392,0.123761088450203
