"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PSME","TABR","THPL","TSHE","TSME","sigma","NLL","mse"
1,5,4.48463746000147,1.18055555962875,4.07044336111802,4.44735271156154,1.39396987895868,0.288005784498376,0.0260068602388002,0.683134123050263,0.153089483329898,0.329396506810507,0.177541978405185,0.62864884417901,0.354155931502069,0.668834586499051,0.173045855519798,0.989747077610993,0.922833363245587,1522.46474902569,0.888669624131904
2,5,5.212331325458,1.25965530962351,4.14798744440978,4.36634897865448,1.59331946056465,0.310637684702096,0.476613711334891,1.09094525513018,0.178549559078277,0.496249467294696,0.285569360676783,0.470706816775182,0.820973342709644,0.562991327436012,0.363313813275008,0.906757845534536,0.897929346732186,1519.74477914421,0.819564515443172
3,5,5.15684785652198,1.19392942066744,4.23147713505408,4.30923079566707,1.11777285314861,0.387659965507979,0.467168151947838,1.14116438520773,0.15307775282448,0.369460128121702,0.27606788218154,0.311188261650299,0.538553234773137,0.417050241975217,0.218141500415874,0.541006809230777,0.892284325396001,1518.15231333057,0.814541336487178
4,5,5.49015664035192,1.31061510035512,4.74947865839237,4.56752422674091,1.39693070617225,0.352549256805343,0.40009651229737,0.995546722546032,0.184761514549934,0.391838883873204,0.609843164679054,0.541789179446103,0.405743548917841,0.673271278756142,0.324106177356235,0.965127420969875,0.84023085262,1511.38216540365,0.826056649376665
5,5,4.35975782454728,1.20548339423283,4.41273760422288,4.52158472096935,1.67574486734605,0.270905677848044,0.276723325492891,0.974432562576769,0.283652650505591,0.646059399887452,0.0220501125523573,0.986416235553942,0.410658319973783,0.715342964275132,0.422199396020118,0.958761257074574,0.883187281930616,1522.30585253134,0.885090576435515
6,5,4.33507254043877,1.12456484789161,3.96352854627035,4.3078665089921,1.53786583263669,0.474270157769533,0.16734978037494,1.04556022174431,0.146854376900282,0.422679264393131,0.4545368070905,0.310117559285337,0.930427099341319,0.642053665665942,0.229643763318524,0.952374418409686,0.846078447158263,1524.70013410926,0.856044965708716
7,5,7.2597584386793,1.53962289653591,4.03922587930135,4.65778124053513,1.90915201432093,0.578147107428463,0.243994606491125,0.990887948346228,0.10470010141847,0.263060305208163,0.277111249620597,0.587918156183615,0.0409904832293609,0.504936123209798,0.113755648905334,0.776700969858425,0.903204599901271,1527.38156657017,0.850135003194122
8,5,5.65210408269271,1.31874274923963,4.84362591096157,4.64935064908435,1.79412579467,0.350843532692784,0.335189467777808,0.78223856876939,0.136957530433785,0.356749696153419,0.347831391266349,0.553840607681968,0.487170462095128,0.424589046655605,0.216610346149486,0.915401330509433,0.884380760719521,1510.81270710112,0.843457121881145
9,5,4.8605280500982,1.20466262363181,4.58469940629131,4.13097447674124,1.04051282091169,0.489466131407843,0.301295745516471,0.983521832770937,0.150057530395223,0.336220172042186,0.799128456938704,0.10955226463791,0.805978820211099,0.414064442887302,0.157821611848637,0.856254672883876,0.90406982394698,1515.22743045807,0.827932198573837
10,5,5.16963479353572,1.13893600671647,4.35590323830112,4.25252713072833,0.977083039900773,0.65831200773789,0.309565200144958,1.22365024597934,0.101312373963378,0.312138642675338,0.357439362374255,0.436984855625629,0.235460917734489,0.610475041805746,0.160713570792944,0.960434780271138,0.926278997833462,1522.76102515738,0.785662574671167
