"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,5,8.03527570377307,2.03172497719162,5.65110427283402,3.47207925167519,1.51521459219684,0.00699570332765556,1.23489727657925,0.0149201244858929,0.563886831880245,86.8130225853663
15,2,1,3,2,1,1,1,5,15.3399106163174,2.87479578272545,1.96625259987137,3.51315565105142,1.37114220785057,0.00625076070491721,1.31880738425742,0.964487460201496,0.536769291752574,82.1811884253214
20,2,1,3,2,1,1,1,5,20.5325892747543,2.98579394292127,1.58032177522194,4.26842242745092,2.70150751183827,0.00499528192352653,1.21167050646969,1.85244741361133,0.581838890193625,82.4733706589527
25,2,1,3,2,1,1,1,5,23.2766771302675,2.96962477276505,1.60119616496031,4.01031901059537,2.23730029977706,0.0178442144700976,0.033941316092016,2.36458213144443,0.547671498339046,83.1074383985215
10,2,1,3,2,1,1,1,5,8.42575210846429,2.32132977771198,1.5053384978614,3.62544804726176,1.82868701403562,0.000310543906066166,0.944472959776359,1.366583816765,0.584885443234284,82.8974332339125
15,2,1,3,2,1,1,1,5,17.2402201798514,2.82659323873005,1.5141988329491,3.90125505521386,2.45573488328317,0.00345223853646481,0.384388571159918,2.28949715525125,0.548950027351851,82.689809006167
20,2,1,3,2,1,1,1,5,24.3900867392754,2.85702473466873,1.56071358969827,3.45295243085057,2.19003771077539,0.00944041190722956,1.4684919941224,3.43003851417944,0.585559840944327,84.2923656596395
25,2,1,3,2,1,1,1,5,24.0331961978663,2.83876313963734,1.71508322576281,4.31991356129134,2.86112675689693,0.00118483501952725,2.23555152925199,2.36571413212043,0.545888239923562,82.8991135342112
10,2,1,3,2,1,1,1,5,14.9665642952906,2.86104788142211,1.50278990617493,3.72971860883178,1.97777770583074,0.00250067758819894,1.2298397146411,1.98547582180082,0.594489873953553,82.4054688702829
15,2,1,3,2,1,1,1,5,19.9777071835271,2.83406456486713,1.59701446287972,3.65012238975035,1.84251213302542,0.00307947255455548,0.506903602497253,2.73403684382912,0.560498049030482,82.665788114877
20,2,1,3,2,1,1,1,5,20.6441260657728,2.96973027602278,1.57012090814045,3.7390233779379,2.07220009960525,0.00191677608982128,0.928663024026371,1.71568347279821,0.54346608696978,82.6668831869204
25,2,1,3,2,1,1,1,5,25.7697015463083,2.83050037323762,1.74664752555351,3.65755324031878,1.69922075666009,0.00515737660683315,0.66947636640293,2.06340757324283,0.570716872800871,83.0214953553452
