"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
20,2,1,3,2,1,1,1,5,19.498141073338,1.62162600965169,6.63220197190215,5.11977057430202,1.12744494921281,0.0068734690063361,1.17599780223528,0.381561748778744,1.82642257427787,222.080978578478
25,2,1,3,2,1,1,1,5,28.521733239252,2.36028568159778,5.30587271502068,4.6393966749659,2.37468928061001,0.0070421220871586,1.15718547824875,0.456165065643969,1.97214796626144,227.454703753714
30,2,1,3,2,1,1,1,5,28.7930068981939,2.66501978100229,6.41702498505174,5.13479631668363,1.22065387802411,0.00605267074195858,1.17695496215337,0.234579779635499,1.85141856011236,221.751225248237
20,2,1,3,2,1,1,1,5,17.4807679197131,1.65185619295566,5.25517143398352,4.97965380233623,1.88441816701992,0.00285814990861724,1.49065472117366,0.382788832542039,1.86632713761483,224.903086165921
25,2,1,3,2,1,1,1,5,26.5101794687785,2.06893930182745,8.36267863824348,5.79906956955194,2.75017731274909,0.00232101524176666,1.59908825172006,0.0306080963791463,1.59685773196091,214.748528910462
30,2,1,3,2,1,1,1,5,29.1500298202444,2.69151187275542,6.82514535816321,4.93447728815916,1.8831951944841,0.0068205874457015,1.19966275261794,0.230928860123517,1.65620708524201,220.929601348124
20,2,1,3,2,1,1,1,5,25.1299742938037,1.97058007199606,7.31903494049864,4.72593274067376,1.04839096696605,0.00525175444287496,1.69758113290654,0.591674644781888,1.73128398548324,219.963049364151
25,2,1,3,2,1,1,1,5,18.4442167288381,1.60609804920522,4.35115859668231,4.73261453965545,1.78489160949425,0.0303031908007801,0.189983822757247,0.743486872779987,2.12905339955237,234.554422092094
30,2,1,3,2,1,1,1,5,27.671439798037,2.00691930107325,5.18710377060592,4.62633126541671,2.44321842256815,0.00284777520920047,1.21476986434943,0.170684571348792,1.94545074494394,227.056863725076
