"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,5,8.37874336961327,2.64294893139213,1.72520945696062,3.36329898453176,1.68094911336984,0.0228622876867222,1.71950527227172,2.61952807369053,0.508869413066902,68.9476199795334
15,2,1,3,2,1,1,1,5,13.6271165816442,2.90450441098334,1.79049307775026,3.59632915440508,1.72046155314948,0.11298619671798,0.6967272714841,3.08834176245761,0.519332589413951,68.6541831712802
20,2,1,3,2,1,1,1,5,18.6923220614707,2.999861812827,1.93298275400743,3.8363315420541,2.22971586235674,0.13420984053179,0.587352752262118,2.548166088855,0.533042704251718,69.0099319611844
25,2,1,3,2,1,1,1,5,19.4630042170322,2.97434577965917,1.93404308117029,3.98649703373983,2.30477005324789,0.0621742729884279,1.14975303516236,2.46571555093688,0.541179349099468,69.0176633998172
10,2,1,3,2,1,1,1,5,9.17400519601564,2.99156146253555,1.61812826947018,3.64612922034092,2.10832614151928,0.0158995563327769,1.85360444156642,2.77958897500909,0.520359317867407,68.2771160885632
15,2,1,3,2,1,1,1,5,16.7863317396808,2.97875001196071,1.9214675875217,3.76825277232276,2.14388019493001,0.124090911876388,0.779611816534019,2.57405657586443,0.53897652016291,68.7764162959084
20,2,1,3,2,1,1,1,5,19.8411122268881,2.89339074149447,2.18107906787387,3.83571122077158,2.45103291556429,0.0728611057883594,1.08069303862873,1.929756560427,0.543125586876962,69.2856561801379
25,2,1,3,2,1,1,1,5,25.6509746025992,2.96580624818649,1.8431755454697,3.40891043332863,2.83441364266579,0.00128447018765577,2.95053038222368,1.81253263731633,0.531765485219124,70.6983860601475
10,2,1,3,2,1,1,1,5,11.7801307678306,2.99187647348899,1.66352915538722,3.92412627732746,2.60527081428936,0.175469690974478,0.55745108502931,3.11699141185425,0.518445118411414,68.7514121676261
15,2,1,3,2,1,1,1,5,10.9824971277143,2.94728788175344,1.75396365055594,3.73700681640553,2.41182863881523,0.0156527703394949,1.88809385708296,2.23061050077095,0.521291607730075,67.9409612688672
20,2,1,3,2,1,1,1,5,18.845911185353,2.9391480713626,2.03061586164325,3.67049809874623,2.10430019362865,0.0300158511769258,1.33941803560024,1.90143112893305,0.538630063641466,68.9631215486543
25,2,1,3,2,1,1,1,5,25.2772966602495,2.88646694688273,2.05952964874702,3.52607992098823,1.75935786385989,0.094919736431544,0.675415425167444,2.35087841481848,0.535056829654347,69.8322642626474
