"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PICO","PIMO","PSME","TABR","THPL","TSHE","sigma","NLL","mse"
1,25,24.2617554619421,2.25239608713997,4.39087873341463,4.79477510919771,2.76233569128915,0.754627954229626,0.477789434874625,1.67210479489279,0.0435394852864979,0.683200730390668,0.0496186627848891,0.201862682884125,0.630502240116554,0.684664463398639,0.722479027644866,0.78556905530287,0.102892244276596,1.3373657569829,1574.84297540627,1.63877174705718
2,25,25.5507428883464,2.7894830520028,3.95350518085727,4.75455940160818,2.02393681079524,0.130810378772944,0.877406642598315,1.05485921992255,0.00326025607930807,0.260238663533229,0.0885308119265443,0.534599396740185,0.997685660046746,0.51888189713565,0.145932841373315,0.572394709683349,0.132897476826008,1.24466730612092,1561.83540908215,1.6305869107543
3,25,24.4315454351369,2.43702111258804,4.67279293472664,4.86086329829893,2.76740084164498,0.113764281947449,0.915263748766072,0.993819443528459,0.0380511544141666,0.588957067520072,0.443817119996297,0.701768784632396,0.665397391811321,0.601572768334057,0.568502979050475,0.797974731976192,0.308609498498676,1.27879003743219,1556.65823630092,1.66305099856358
4,25,25.7741584868887,2.64539541089476,3.89645988439588,4.62197929060562,2.76656752918132,2.65500569254303,0.0286478762417309,1.9515027764349,0.0407174164160879,0.227123367781815,0.0502796193822592,0.732108741379319,0.431997566545804,0.789442631999058,0.0777130141921223,0.812272455993993,0.0240358967621433,1.31244876675772,1592.20100924517,1.66389513204834
5,25,23.8849795377741,2.89145343738997,3.3560502123079,4.4190036252758,2.13640975284367,3.08475509501523,0.712098225403301,2.7521028600509,0.00052447926328127,0.603646423991602,0.632142605890196,0.940529699911409,0.745443497979396,0.607372512822744,0.453584119435647,0.273008260553395,0.0126384699688178,1.35920802073582,1624.43623043601,1.84222972091053
6,25,22.8070930203946,2.80172841552882,4.29982284637205,4.69550226525523,2.71592795968833,0.515552794030719,0.774483741295352,1.42168722980739,0.00274123422512372,0.404288821705848,0.0242365052396359,0.38258729311128,0.359867960220531,0.414963501039542,0.786780175160854,0.329625771789261,0.183577406943864,1.29127259537644,1561.69842896274,1.62294225131218
7,25,24.1720241634399,2.73427222935348,3.09240691337885,4.8736586820819,1.36889029893263,4.68309129647972,0.32747421082086,3.34153586181757,0.00484950108018312,0.465818347358469,0.039524640084842,0.23169405321796,0.854459223411771,0.154049106486157,0.626609619105109,0.218393458282115,0.00992628021450394,1.39127366834448,1635.12169401567,1.7855992617641
8,25,23.6838976472057,2.49498888687191,4.19599251672843,5.24285219545119,2.60636720058015,0.2370719359385,0.523440992600041,1.13416554886726,0.0360468546625066,0.259279497819216,0.469265642488008,0.0526719608631724,0.630414611502116,0.745660086476003,0.518457067430372,0.851258635615826,0.133743468339584,1.27284842727595,1559.48088847924,1.62848348765846
9,25,25.7483209874821,2.2519726937507,3.6545980763975,4.09124975428462,2.44352467123566,0.0107506867928058,2.46378722335553,1.97339094367442,0.0128775913024166,0.737917733463667,0.63396368837608,0.591171722185488,0.163528329356143,0.579374197544519,0.444520208748029,0.0308662284757501,0.624998119870124,1.39435007350974,1629.64132650092,1.71838345942058
10,25,25.593413039454,2.60022344352843,4.14114639103182,4.89166108890819,2.69264845553766,0.109949360241628,0.810233313650466,1.05305913491556,0.0104731200783619,0.502518780761891,0.911811814021948,0.735903087561025,0.865450718738493,0.789208092035183,0.442290188620058,0.72888415657609,0.321814293892974,1.21866450625303,1559.88226558159,1.64490035409575
1,30,29.8219183508022,2.65036681367844,4.04284905436568,4.92491986122328,2.00337517114879,0.272257376279727,0.644943453949494,1.29245835393058,0.0015168286812934,0.547144333619138,0.0448858038441328,0.554698894639385,0.969010964143935,0.820331016803067,0.00778777473508616,0.833965997534218,0.0409837344580608,1.24033138053206,1558.78391945363,1.65642582597564
2,30,28.0844703358138,2.85602112499755,4.26628120580739,4.61615937040264,2.06199190365575,0.123727416997552,0.895463696244648,1.12511581922684,0.00199295717071436,0.792484143210246,0.135806998381742,0.652703469175615,0.78050468632377,0.772395974129777,0.138952894131681,0.424986272244519,0.40284973368408,1.28544593587764,1557.40759220756,1.61450335965014
3,30,27.5519753770077,2.68332975805318,4.10837935250147,5.10186038998566,2.7431345265351,0.452039771608769,0.451889272210536,1.36857652173907,7.26144579695984e-05,0.576449993721941,0.00800712606478231,0.280476965515911,0.179557367130095,0.859621304991939,0.625762633840305,0.86385147195937,0.137644068205362,1.24574898211664,1557.46677976999,1.63314773465035
4,30,28.0291665921066,2.50389272656343,4.57034537521975,4.78255782433619,1.92945304873407,1.28990198677094,0.103142048311815,1.45324120768717,0.0175279460843052,0.933756197267776,0.026473777638902,0.735450122691272,0.278002382211079,0.572513840198785,0.144876379746089,0.684584404897674,0.0843323033145834,1.33378318557654,1570.7598972083,1.68706418898648
5,30,29.6768630633436,2.85349204229136,4.00733743916098,4.65022300702715,2.23642778808974,1.31955600966074,0.446926194820039,1.58700174169533,0.0170691657091392,0.577515379806092,0.0341273219875552,0.435247576098527,0.64439148244894,0.350853091694521,0.686233443446905,0.373495155617996,0.054658783156307,1.3740225665035,1575.61294682594,1.64893978557343
6,30,29.7602756481602,2.56370727578449,4.68306397870186,4.70194475068339,1.9488482567878,0.123139123503369,0.749107897784862,1.117809285534,0.000543443320288561,0.740333067170755,0.373051671411389,0.912175699365319,0.818001954841116,0.870056909752782,0.855111514547252,0.76950328787372,0.392082630672069,1.24976971626479,1552.32957265769,1.63799228963931
7,30,29.2472103480227,2.71028340363403,4.62756035352166,4.92585064833282,2.55484118508993,0.0419569239709011,1.11023701828705,0.73721599475124,0.0573166652694719,0.766170163934388,0.644770990406487,0.625351341879711,0.725052297695807,0.796846070373868,0.553678161522299,0.052582061386668,0.477598978964032,1.25902282409716,1557.10474232971,1.65378643528311
8,30,29.6412296475991,2.81204183173733,4.73231910375745,4.7468873225665,1.78559550378889,0.120749836715803,0.766203232267304,0.86893928389041,0.0060462561512426,0.576323257519419,0.159433092182039,0.538594115857732,0.253967686469006,0.672041525026413,0.189690483396107,0.657380461089235,0.276572123373471,1.29901137701249,1551.42013098994,1.6752734008083
9,30,29.6426818574485,2.46016542465025,3.95830230863314,5.13072378687583,2.77931763785837,0.114173119025962,0.637499974089861,0.918775646687422,0.00368324670594675,0.29575513827582,0.45981973844551,0.0393982578445363,0.110915418303934,0.996265605049008,0.126887615415494,0.864952050957218,0.0395046345645601,1.24694589179562,1564.36069464931,1.66455948247972
10,30,24.9846264418148,2.45457251479853,5.00287532627273,5.29711074806404,2.57000018768586,0.163691510995919,0.595923960886594,0.972799493388019,0.0243104384898461,0.598216534948413,0.216863154955527,0.265073723079807,0.834110793942199,0.941348862657251,0.208673018295681,0.927742747372373,0.260097813200472,1.23184827511777,1547.66659460325,1.66520824961242
