"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
10,2,1,3,2,5,3.70912869358361,1.69801845611653,1.65090204060796,3.55984871529484,1.33342412316068,0.559175209913437,83.6218431242648
15,2,1,3,2,5,8.92896174769762,2.92428630339482,1.54807748702245,4.54255924041368,2.65732928478396,0.576322970537067,84.3358157227179
20,2,1,3,2,5,20.6827061529714,2.95583130349624,1.67855469017885,4.03746575845413,2.155293414081,0.594044718748533,85.8552753826258
25,2,1,3,2,5,22.9119885432924,2.99007254724121,1.65668235394106,4.33914720454539,2.36689960337531,0.602008365080646,86.2892396840177
10,2,1,3,2,5,3.44145347342887,1.51480741728365,1.56057407516383,3.95058980000575,1.97619256713014,0.573395133919654,83.6004109335601
15,2,1,3,2,5,18.113568547462,2.91812677045362,1.65338380947493,4.00491756497726,2.1310612565817,0.558032731181313,85.8562855540006
20,2,1,3,2,5,20.2411246254939,2.9891275781308,1.80818134424981,3.5458488854698,1.23716209452571,0.595159677577902,85.7183534624136
25,2,1,3,2,5,20.2713684287947,2.94470270852697,1.91385676350803,3.52295136415881,1.09758909248155,0.595010699112307,85.9308957552199
10,2,1,3,2,5,7.60372044360806,2.99778776559192,1.48202606941731,4.47549670369495,2.69660648798154,0.578928944585765,84.0562699950511
15,2,1,3,2,5,13.9714357603759,2.99416449094852,1.55015300996826,4.21930355255188,2.41200595639864,0.571233408475546,84.7821964582945
20,2,1,3,2,5,14.1109307852957,2.95043064867833,1.55191144349087,4.09714936092558,2.20365104730273,0.567535410047609,84.9096652498967
25,2,1,3,2,5,14.7665071424202,2.90890018354414,1.63945652603839,3.71093648051347,1.68506265290277,0.573980640356071,85.1847582823911
