"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
20,2,1,3,2,1,1,1,0.5,0.5,5,19.844225556854,2.76261515362885,4.33197155196694,5.11894467579473,2.79319308003536,0.0494382943143446,0.686992748572961,0.168165020212563,0.372981428267913,0.223503284442336,0.899363626345127,342.879156250012
25,2,1,3,2,1,1,1,0.5,0.5,5,26.4202937053283,2.40639501691751,4.76065791946299,4.66557803955473,2.71765549461263,0.0204163100595824,1.05019594691061,0.344994156631269,0.700056113517081,0.506932761308089,0.885589051386002,339.330822295546
30,2,1,3,2,1,1,1,0.5,0.5,5,26.860622548817,2.91477456248307,3.49507411998724,4.02482078439497,2.91886791999159,0.696581476272141,0.503622359745393,0.369798845893149,0.0381483675976214,0.0181218517832366,0.897953084866937,351.508783234729
20,2,1,3,2,1,1,1,0.5,0.5,5,18.9688686173205,2.96750652252483,4.42918278603847,4.5727765007218,1.68140469787358,0.0589204928446685,0.719720241375716,0.349819219314696,0.423251705508393,0.293893296933204,0.968224480438409,343.281309030098
25,2,1,3,2,1,1,1,0.5,0.5,5,26.1093966955107,2.94232946212067,3.85570939234612,4.51396188376469,2.55614324963615,0.0295593030234544,0.468662681318402,0.199879609326796,0.902246412324393,0.422712160115063,0.905683598031824,345.152964419881
30,2,1,3,2,1,1,1,0.5,0.5,5,29.5985943282,2.86537244449595,4.76412018606736,4.69215049153704,2.58654483235443,0.0500670339863768,0.867621040126359,0.311212905537994,0.375705399335625,0.268673875708653,0.88947906639465,339.085377986465
20,2,1,3,2,1,1,1,0.5,0.5,5,17.9485575992169,2.94449201015408,5.24473063946562,4.68877930274135,1.33113969641436,0.0400848594103438,0.700986222524603,0.340997679784135,0.758676885640792,0.476632919951616,0.863177885004104,338.467310331023
25,2,1,3,2,1,1,1,0.5,0.5,5,25.0419936932226,2.47876330274587,3.77887661070499,4.24799032140625,2.13981976655249,5.79885897119895,0.470753631666134,1.03714824640836,0.0214133707745354,0.00980604508228053,0.986348387268334,355.779940105853
30,2,1,3,2,1,1,1,0.5,0.5,5,29.5133723768848,2.3316248442607,6.11598046940326,4.38910477338688,1.82708798061347,0.0318511790854827,0.695543631042828,0.278450515304987,0.787429364448364,0.624313890731856,0.847960287762803,337.905311211579
