"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSME","sigma","NLL","mse"
1,5,7.15560129744595,2.12147591017459,2.08204874565627,3.50568596712242,1.17163909070447,0.0571584842054775,1.43013693002305,1.51820517539943,0.0693605048253598,0.0779153846675954,0.993651030071387,0.605612815704797,0.572596172674259,76.516316531257,0.0666189332707949
2,5,9.4456571937796,2.99716610242489,1.65848769829353,3.78170649928143,1.70002302387527,0.197890232429306,0.0728030619486759,3.19962568856494,0.0357142780284889,0.883585517678045,0.536420140278031,0.0361634954507619,0.551641607804278,78.4265972968598,0.133063930437636
3,5,3.10848782232502,2.54514155089245,2.21660955847792,3.55368190097108,1.60342317245886,0.0163237333792096,1.81443864057548,0.883700309446939,0.0186303417709106,0.0684743918513853,0.112397230325748,0.808574794268863,0.569574937450048,71.6570833947156,0.184152636615649
4,5,5.5094130086845,2.31544196573784,2.50839087074187,3.44055869216376,1.48175242569104,0.0437602938421421,1.69477011339786,1.38933318040335,0.00693573691049803,0.224573806000022,0.709196517183859,0.785108668640904,0.506961539426064,73.9231931460437,0.0977125348197106
5,5,2.87452933017031,2.31447056934247,1.68366101843243,3.72376942837217,2.3860737705806,0.0587807874459505,1.66093608035891,1.81591371284318,0.00878223755729809,0.298458463335696,0.264531672580592,0.408924394468297,0.555728986376706,75.5130057470076,0.0962503616816087
6,5,4.17910888115757,2.05631990701348,1.53676548867567,3.98530202410538,2.80184270415762,0.061643980156255,1.2063362757679,1.69586919982751,0.0720337057507346,0.0903285721445931,0.983849316876719,0.639058748010078,0.586890605564867,76.3291076390904,0.0841269678269574
7,5,5.39680159589686,2.09181359069782,1.58778125205931,3.6623499388207,1.65268687585216,0.304445478562533,0.405989784861648,2.93697415902716,0.0277803057895666,0.636479380930599,0.233078338101864,0.0862048656174866,0.60960850218704,78.2856621325595,0.121746113251427
8,5,6.15053870904514,2.442625336668,1.48817917033626,4.24517207475354,2.44960446438484,0.00438999255857267,1.09435414427771,3.83421206381126,0.0356684587271629,0.8346439178032,0.416648329997612,0.501661247966338,0.602547347844727,78.6587022178276,0.122908800320141
9,5,6.43595772147846,2.18501313851087,2.22147663902102,4.38474135990806,2.88544653338448,0.133515663952221,1.3428661744868,1.39303446673582,0.00569118445604657,0.111568595573847,0.208011901612855,0.431290000336201,0.61483129852717,74.7581726500267,0.0847382444981142
10,5,3.88230460718007,1.87695635728248,2.35501370578771,3.42675190209335,1.79987696194602,0.0333913648418501,1.67995658030742,1.04279020388977,0.0441344864176327,0.144950751869102,0.449200338311,0.655906892977732,0.609795776610517,71.9626439207419,0.12129913949914
1,15,11.4850233266538,2.76932056428228,2.63516280318224,5.08297637011568,2.8650835883303,0.0549076074628443,1.40855378512053,1.03884426099142,0.0687339253649281,0.140020777559069,0.648840331426074,0.513550545283913,0.534219372408532,75.9488115175887,0.0938337912904961
2,15,10.5587814196091,2.40630937712148,3.41839435149197,3.69946894573845,2.75190855794258,0.0183375156624287,1.94499647698217,0.924413280459546,0.263573455291292,0.204589339096873,0.237045651879637,0.981023146217103,0.60642057231358,75.1906502130901,0.152080958662652
3,15,16.131456410172,2.78439217330082,3.34846806745178,4.24795480077675,2.55294384185198,0.00933643508832839,2.17664202381852,0.733076208819793,0.240295611350996,0.0709372417592094,0.503636148833069,0.772812493392357,0.553848160535509,74.7557816207789,0.184958241977849
4,15,13.8216366638346,2.42071804679188,2.6715625252865,3.6433455990854,1.99789610328937,0.0124405925659069,2.27703489994078,1.05498942064989,0.0483461828478454,0.116736992085073,0.549249565121105,0.635905645369687,0.548915616300563,72.6004430820955,0.112080613877787
5,15,9.7726160872231,2.98545472904223,1.79637551201352,4.34214969083806,2.58714234701829,0.0564816877576206,0.959851087471216,1.7176642120398,0.0295084346775024,0.692176344526868,0.626200795073469,0.816045411853253,0.576567914319202,77.7427905874725,0.0862064852599157
6,15,15.9230324903348,2.84355656619203,2.452648937396,4.07410370678797,2.68174364867943,0.0308394223307847,1.24680079997144,0.750687303517994,0.0925742550334497,0.148003707715125,0.175369559420815,0.959876286037329,0.554988626591906,75.3771127151211,0.125989431613959
7,15,20.7296823398212,2.85063857117834,1.84380395968463,4.5205988731253,2.66335209582949,0.0502052790444164,0.865782955210528,1.10420076100003,0.0578008780200196,0.00352463829293901,0.425103356343061,0.629311838669052,0.568736227008038,80.1856509902876,0.0860369527553293
8,15,14.9304878901109,2.9537583537732,1.76888991711388,3.65135997229065,1.4358766187915,0.022701458156168,1.05900440405289,2.68823977024069,0.10023725386587,0.754519887344786,0.287185135777093,0.574581944631096,0.640424858256117,79.909656352941,0.103393002924811
9,15,10.9376452046938,2.07339943999066,4.5679296477807,2.73071446659473,2.37010244061897,4.54883675811722,0.515617626277866,0.953615456188342,0.0320718301750424,0.0162219190936111,0.0640291921488257,0.0454342347606318,0.70628886370174,98.0995249094401,0.149309473501298
10,15,16.8409268108132,2.98388971239379,1.65218788435572,3.97653565963795,2.13518836406069,0.0905321159587767,0.072193028631506,2.41636946799543,0.0475732755096801,0.684623031873372,0.750259971630363,0.242953068550882,0.586420627366513,79.8018310610872,0.114062916649958
1,25,23.5529206119673,2.97327673590786,2.27521956284824,3.56917508501057,1.07651444434059,0.0152135965669122,2.7029141451469,3.12054408522775,0.0430129245017647,0.219161733743782,0.202369428860332,0.597863159110417,0.63149334625138,80.7051064724623,0.0714091155655078
2,25,21.5231654105551,2.86533984912825,2.12318872484677,3.68183184330518,1.93971721636303,0.0183981352767783,2.20329321373002,2.02649995126603,0.142752075355382,0.287018747646944,0.299961669947864,0.975850397171505,0.57226776590383,76.7580078551318,0.0747638668415345
