"ABAM","CANO","PSME","THPL","TSHE","TSME"
"ABAM","ABAM","ABAM","ABAM","ABAM","ABAM"
"CANO","CANO","ABLA","PSME","CANO","CANO"
"PSME","TSHE","PICO","THPL","PICO","TSME"
"TABR","TSME","PIMO","TSHE","PIMO",NA
"THPL",NA,"PSME",NA,"PSME",NA
"TSHE",NA,"THPL",NA,"TABR",NA
"TSME",NA,"TSHE",NA,"THPL",NA
NA,NA,NA,NA,"TSHE",NA
