"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
5,2,1,3,2,5,9.38128029150175,2.7334619518884,1.45473333638355,3.66321544663478,1.78039006540267,0.565977865385211,82.4216040374977
15,2,1,3,2,5,10.7975670836655,2.64342891515871,1.50430443373542,3.58117144460238,1.53422464454782,0.561601648071991,82.3891311358118
20,2,1,3,2,5,14.7153367535637,2.92145329466442,1.42505022832764,3.95802560620886,2.54776633613953,0.571162080785777,82.3341484111703
25,2,1,3,2,5,19.9777965213028,2.90840260247508,1.51776407623155,3.81003224461942,2.20608932955816,0.596010004235955,82.6106733246971
10,2,1,3,2,5,9.99753742676543,2.60294369832124,1.42732296753314,4.31590371016963,2.87477850298574,0.566592122910708,82.4722227146774
15,2,1,3,2,5,11.8661769141424,2.73412455905278,1.46279018077623,3.66267111439131,1.85300057033188,0.580361105029153,82.3558874751715
20,2,1,3,2,5,18.0628391115728,2.99384280714171,1.49559045230582,4.09236017727162,2.60881478579011,0.575097722829115,82.3583389501857
25,2,1,3,2,5,19.0611905755264,2.89527717500797,1.53678885560535,3.81748450805254,2.06732141397219,0.572041832828233,82.4244184943813
10,2,1,3,2,5,16.0386008096046,2.97345294282971,1.46524680375824,4.13914859311177,2.91854407506287,0.567683627226285,82.3687335592475
15,2,1,3,2,5,10.0628644948459,2.8884433068232,1.38043789625966,3.95129357431389,2.53704887651435,0.574873007287064,82.4356974286417
20,2,1,3,2,5,19.6619044815082,2.98212624762263,1.54042487914013,3.92045351427201,2.29287587025593,0.571229943829291,82.421568470419
25,2,1,3,2,5,26.0191291294892,2.99399549682919,1.53927699903875,3.9209841503486,2.56890284938011,0.558634888743735,82.6676473829858
