"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,5,17.2130202528346,1.58865573894504,5.54692219526402,3.30093296519289,1.26110585396192,0.055815952886756,0.428127516487634,0.559375996893285,0.770030945806019,257.636326068883
20,2,1,3,2,1,1,1,5,19.6509216660544,2.0383266173365,3.39952341881472,2.83354630419252,2.93211369897907,0.0374953739751283,1.08219065826719,0.991853989298773,0.713628339426144,258.363984436421
25,2,1,3,2,1,1,1,5,22.9592181039314,1.72821218804078,3.44548319623342,2.82710729170885,2.64448173873501,0.0598611034864149,0.579863960066491,1.01595157843392,0.740113516724724,257.707184991213
15,2,1,3,2,1,1,1,5,18.836257514788,2.10754110697238,4.03835958893681,2.61895810432057,2.74566006771191,0.0517432207438611,0.733954435904948,0.779892269279443,0.782227707551699,257.989833375796
20,2,1,3,2,1,1,1,5,16.6673176808876,2.06974558383215,4.09435223093297,2.84491047059906,2.63580565685591,0.0297617216180118,1.02078324723612,0.74081595522932,0.753660244586037,258.002746036445
25,2,1,3,2,1,1,1,5,18.6098007878995,1.58930824815889,3.92470346202918,3.13884352449033,1.97146047468454,0.0332514382408823,0.900423037774028,0.83820712782758,0.741101940491235,257.672085925636
15,2,1,3,2,1,1,1,5,11.7783820613351,1.7257034036066,3.45286911954297,2.38676401199584,2.74851751384397,0.0206180775657834,1.22832578773398,0.781850274137651,0.781663032526899,260.669011028237
20,2,1,3,2,1,1,1,5,20.5392281414114,1.79831454395044,4.21097257863307,3.18320156673709,1.70232711207189,0.024593406491152,1.3928394029056,1.02867352475997,0.785187373986897,258.088668409289
25,2,1,3,2,1,1,1,5,23.942392643501,2.01885633600332,3.06207808644474,2.98861922857742,2.89402933747523,0.0690707291636949,0.535425889649515,1.08893614496561,0.736937508716307,258.184758365319
