"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
20,2,1,3,2,1,1,1,0.5,0.5,5,18.4362376361067,2.38795759092274,5.38164420104274,4.70236974402353,1.87512779682753,0.199747238053124,1.22764154235795,1.26493124027265,0.468066904024465,0.203371739938185,1.50613231802016,213.998394150691
25,2,1,3,2,1,1,1,0.5,0.5,5,24.521892907561,2.61553882093006,7.24079163573661,5.04927361201896,2.51181152449669,0.118291138282453,1.25378406913039,1.11740276687765,0.547666178039817,0.414604121744712,1.34560939049152,210.835009045831
30,2,1,3,2,1,1,1,0.5,0.5,5,26.891393733524,2.32267724119034,8.79068621809355,4.85637196613655,1.5457874469574,0.0309581453896849,1.72373480869202,0.743172379070385,0.474794770598016,0.356014266545652,1.31329769655688,206.00946942562
20,2,1,3,2,1,1,1,0.5,0.5,5,16.6508911878546,1.83681794513453,9.67638648108816,5.0379977308272,1.9679884217275,0.106529600907213,1.66103010363039,0.663475886644151,0.105615408733847,0.106797328526284,1.30932023512274,203.105459656956
25,2,1,3,2,1,1,1,0.5,0.5,5,22.9110902452526,2.72340289467966,8.25812041525619,4.82053590366284,1.53770488493467,0.0269146188560382,1.44242692440264,0.871325684320077,0.974688403633035,0.952159167812565,1.38676704207275,207.259271448526
30,2,1,3,2,1,1,1,0.5,0.5,5,27.2998840965057,2.61442960480798,8.10686387063549,4.86073143273786,1.68257726222018,0.0885632373046674,1.46054020983624,0.789694946504513,0.287654778699767,0.185200975055,1.35054540783769,207.754018383895
20,2,1,3,2,1,1,1,0.5,0.5,5,21.1257769123876,2.93818227152643,7.75109399432073,4.87185041613664,1.17336164996892,0.0627649024114582,1.64635750077553,1.0586077529088,0.492535043401459,0.343214921613305,1.34240955168353,207.576514810599
25,2,1,3,2,1,1,1,0.5,0.5,5,28.9950190022891,2.31104393653616,7.73921152218741,4.84508719347383,1.30421258528236,0.135916744958988,1.35135765102364,0.247619854388927,0.0998566553165688,0.0385131507875387,1.34510583312042,209.578189942219
30,2,1,3,2,1,1,1,0.5,0.5,5,23.2997152540468,2.0934650893705,8.92413241438018,5.046014796603,1.56708139915485,0.00749971035852518,1.77826881419808,0.222898422681403,0.551003110437004,0.393372379095342,1.3937600918557,205.450434861319
