"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
15,2,1,3,2,1,1,1,5,16.7739346452127,2.88746222777958,3.23168716595077,3.05659728722744,2.44410344794009,0.0405395250094751,0.76478900767301,0.70568734104996,0.848361678419717,278.041575889115
20,2,1,3,2,1,1,1,5,22.043677015856,2.37116221272289,7.96304098411949,3.29500428712527,1.0192162604664,0.0548707864411322,0.725717011580454,0.614101110481173,0.808040126984874,273.609423098469
25,2,1,3,2,1,1,1,5,18.3692584035479,2.22573243746013,3.6796297815555,3.88455199987488,2.58069555498783,0.0641334569301542,0.636871164664021,0.872931769814828,0.778045426696062,276.03648658973
15,2,1,3,2,1,1,1,5,15.6329011564108,2.40778192231289,3.55541791509368,4.96387647554823,2.94252660344714,0.07864962712126,0.279688752304546,0.733932702470034,0.831529090899098,279.649369132718
20,2,1,3,2,1,1,1,5,16.3784318480186,2.3594780469281,3.91530541383486,3.37184312311163,2.54622022025413,0.0520824275577302,0.624395550136608,0.665871003017206,0.782596075212541,276.050444180666
25,2,1,3,2,1,1,1,5,29.8341977594481,1.9365021553824,3.79706148556819,3.14559884487828,2.27330382211902,0.0645390718412108,0.545463756156936,0.994366696217301,0.779805352886451,274.729096592049
15,2,1,3,2,1,1,1,5,17.8068157991192,2.18871021188518,3.95959523926329,3.28451885300671,2.75771220661932,0.0387746484414878,0.769139093535765,0.675091490894595,0.764802669517654,275.568369111695
20,2,1,3,2,1,1,1,5,18.4097418050045,2.00651418963184,3.92713528448296,3.27226167682896,2.06019790714042,0.0373741587424366,0.929063117722242,0.791650277086162,0.773354679312173,274.466960243933
25,2,1,3,2,1,1,1,5,23.049826689165,2.15812199943471,4.31900946968775,3.15751560683074,2.51401620044884,0.0381129512936334,0.796847339620486,0.686431323000222,0.828672058342979,274.554183840759
