"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,7.67292625725186,2.5522247026454,1.56329781747016,4.01492460452453,2.05633120369957,0.0459231435209354,1.11860707472842,2.74486534420896,0.619826934255496,0.049902373880729,0.567223375196226,83.6312168025641
15,2,1,3,2,1,1,1,0.5,0.5,5,13.0161267740989,2.30623640623095,2.16317059619299,4.7185607589815,2.49614677324583,2.14035193390708,0.930404183333656,1.37034548668989,0.0284033575273705,0.00271442264350663,0.557819767654839,86.7032469542435
20,2,1,3,2,1,1,1,0.5,0.5,5,20.1120964775266,2.97475291103579,2.42637312069185,3.78520210920917,2.66424600885243,0.0716464821539808,2.50045328705422,1.29495898513456,0.116882797165627,0.0116657151735042,0.533292506166785,74.6269608083189
25,2,1,3,2,1,1,1,0.5,0.5,5,26.8385432254778,2.98480182241658,2.10344312855127,3.538969865268,1.24029037973013,0.0578355660748872,1.29794696505282,2.16100236185139,0.764536005776546,0.0180056941018003,0.540970609772622,84.6925689762464
10,2,1,3,2,1,1,1,0.5,0.5,5,5.21862591569135,1.59719748212154,1.83306753052452,3.5695348527217,1.50450963205259,0.00510070310654833,2.73438900865754,1.84507773898371,0.776744303546995,0.0106845327270764,0.499354988814672,75.9915935542029
15,2,1,3,2,1,1,1,0.5,0.5,5,14.5333676178128,2.78873668454938,1.7080843285462,3.82634509122496,1.89405066260872,0.236031425843225,0.630888592706185,1.61960542863541,0.37673695493453,0.00517609048671212,0.61005709593554,84.3331676122086
20,2,1,3,2,1,1,1,0.5,0.5,5,20.2225308095041,2.84125903273157,1.70693763347775,4.382639460961,2.90802966127643,3.79616666818346,0.348761385542912,3.00163801614285,0.00241816813859192,0.0243398590300242,0.654298987962253,87.8756938463592
25,2,1,3,2,1,1,1,0.5,0.5,5,23.6546651375054,2.82030269750795,2.21403381558402,3.7214494024742,2.06824257440425,0.0377379267379445,1.66857402394979,1.05502051410041,0.5306463492431,0.0191271633931522,0.539609229583218,79.0459031139335
10,2,1,3,2,1,1,1,0.5,0.5,5,8.16227083216208,2.86132390122044,1.79186207195192,4.01728310163461,1.95652276833942,8.12414162553984,0.322497656165657,1.82921798490909,0.00782905813204336,0.00699342180995865,0.546480893907322,86.5900250323229
15,2,1,3,2,1,1,1,0.5,0.5,5,9.45649273419825,2.338885510559,1.93069377016327,3.91728953002641,2.48490645266005,0.0148295088307703,1.90115419004215,1.12930247807743,0.807555035689681,0.00892621604026712,0.504821716113379,76.4588718859348
20,2,1,3,2,1,1,1,0.5,0.5,5,22.4432720333344,2.50552055021789,2.43381896176707,3.60768116400967,1.4306869943619,1.6850259525884,0.958373272825486,1.13189654885087,0.0407929853430388,0.00579261126693365,0.586741107481538,87.1954519749272
25,2,1,3,2,1,1,1,0.5,0.5,5,25.3955888926617,2.93959569584034,1.96089067634302,3.3566480893464,2.51799590962828,0.0255763917805174,1.85040682124071,1.32222335490917,0.837099889548278,0.0070195922389885,0.52764908840885,79.8506032344419
