"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
5,2,1,3,2,1,1,1,0.5,0.5,5,6.67532813541281,1.36794144081432,3.43733025001513,4.40317207551499,1.15371746659078,2.90258339774197,0.598684524043644,1.96457750911258,0.0241857380778858,0.0709441152527659,0.912038588382241,1768.24874958604
5,2,1,3,2,1,1,1,0.5,0.5,5,5.11294880127127,1.1710830841215,4.11826090617651,4.29316892164365,0.953680106378072,0.126041328903284,0.847901362295121,1.18642499492056,0.212094547681713,0.65591651751516,0.912889890686856,1733.8813461742
5,2,1,3,2,1,1,1,0.5,0.5,5,6.51780067645536,1.39422385330966,4.5061029417953,4.49877326908924,1.14536523035783,0.113330842577977,0.830979472199601,1.25795386881212,0.451702588989047,0.832551871879619,0.92040919234929,1731.14158968699
5,2,1,3,2,1,1,1,0.5,0.5,5,5.57020237371528,1.24789808835124,5.01365669420498,4.45517883879505,1.23811006066115,0.256276614468103,0.516272288778777,1.06821738506164,0.251779258527011,0.522093141180165,0.881439929512056,1719.27577105183
