"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PSME","TABR","THPL","TSHE","TSME","sigma","NLL","mse"
1,5,4.67480651145922,1.09813840614539,4.05652269381019,4.33995536436213,1.28095401158484,0.209701520283645,0.441975459723971,0.928091176836434,0.162057091476868,0.574881852251001,0.650498920439479,0.734733603149781,0.99476917843424,0.769836918476961,0.26209853931469,0.664610723101305,0.946523055295341,1547.45504039374,0.566502049262891
2,5,5.87362313079219,1.28402923011465,4.15189679667932,4.26890461878834,1.03782167520943,0.17579891996602,0.899594692463362,1.3204482619802,0.322085048294892,0.712776365513684,0.642810722728464,0.857738923252876,0.623201424021753,0.359132316809129,0.202532319644401,0.587974461256067,0.904004033475972,1554.36746698454,0.611063807188362
3,5,4.38362327333049,1.06847240431865,2.61202862815106,3.64559338854722,2.75784975629139,0.675515917138603,2.07337700959102,3.63018948703371,0.00240660610328076,0.945764462204775,0.207015075558016,0.232250646526647,0.387484829700293,0.0373835326704067,0.0085917243387428,0.536589084562352,0.995504769827862,1699.57961694908,0.704451335347564
4,5,4.41004797995801,1.06037313237912,4.23884651859362,4.9786008995377,2.30618848974508,0.243612855003038,0.829051984745089,1.09512228881739,0.153588303141383,0.324214442653232,0.41592092860674,0.372210861659218,0.573803904301325,0.420676081180148,0.214357248818673,0.716266837001511,0.949589598718224,1561.20609200143,0.580509398425781
5,5,5.38386515062967,1.31187268823604,3.85011630080923,4.60290927017221,1.30392452043085,0.703193654320212,0.0411025372830123,0.947957906866096,0.0899160936252546,0.19024424420556,0.0600056584861443,0.871158509278563,0.761128736819833,0.359978927667769,0.133875310147302,0.549210075335246,0.854570657823854,1552.41206565383,0.611811793200878
6,5,5.61534408633063,1.25065939388292,3.54541270520544,4.21024600156768,1.10035028748733,0.103744809735228,0.856098610631574,1.13303238392675,0.260588994300586,0.693253759084166,0.144364864882065,0.847304343554244,0.723008115963661,0.0891422309222129,0.0780451245450914,0.91386965577028,0.919189570179529,1557.04921710194,0.601900610071575
7,5,6.3917516117752,2.84877054210694,1.93723842644166,3.54744259845941,2.53152987893472,3.38854719036828,0.334054618477356,1.34199911621707,0.0130507997096213,0.71051133781151,0.782592837526133,0.062474228873952,0.904001999660949,0.282092021005979,0.0471432527524966,0.094331726293011,1.29411885062683,1902.80415937934,1.19312284839444
8,5,5.36880850648603,1.28173579191338,4.57643869545941,4.73275780259948,1.81785133777446,0.355736439884933,0.362727912181702,0.954296848377439,0.192534242256902,0.31734795808599,0.559125269180505,0.972507644202866,0.646674757011831,0.664985961289548,0.231653324782774,0.794587696503465,0.879747586097596,1545.69973914316,0.592163122717667
9,5,3.97941086660291,1.22075313391887,2.40549260981736,4.30357395876771,1.73137089745964,0.0266075754124231,1.92838334511742,2.18967670198228,0.788652221095566,0.387607097219028,0.209833591657895,0.0288827692968911,0.567066132808239,0.671033760473023,0.153134179678034,0.141539832576746,1.00060830182257,1665.3110892134,0.704111830392587
10,5,5.10249497970515,1.10014622350111,4.22507318309743,4.16505649251776,0.984313018139612,0.321908985567389,0.370878454052656,1.04457794291368,0.15383648079624,0.510376380422596,0.955416792147907,0.44272789522817,0.900427289563364,0.504331315421407,0.143594520822407,0.547058709207354,0.896672315374361,1546.78831434091,0.572837280682205
