"focal_sps","L1","L2","L3","L4","RR1","RR2","RR3","RR4"
"ABAM","Yes","Yes","Yes","Yes",100,100,100,100
"CANO","Yes","Yes","Yes","Yes",100,100,100,100
"PSME","Yes","Yes","Yes","Yes",100,100,100,100
"THPL","Yes","Yes","Yes","Yes",100,100,100,100
"TSHE","Yes","Yes","Yes","Yes",100,100,100,100
"TSME","Yes","Yes","Yes","Yes",100,100,100,100
