"focal_sps","training_set","no_comp","eq_comp","int_comp","ss_comp"
"ABAM",1,0.82143881751288,0.756272937789796,0.739574903331078,0.775285202923714
"ABAM",2,0.717441737485978,0.812525887242604,0.652167154997798,0.673847407568395
"ABAM",3,0.759454085679534,0.706765494121853,0.700881943316716,0.653348111271026
"ABAM",4,0.895578359042948,0.884686759107179,0.870275018097192,0.839715456590342
"CANO",1,0.34118425679336,0.456894469652936,0.437794219523336,0.403427705973664
"CANO",2,0.37145728902146,0.199279837488197,0.185711420886022,0.207162943742294
"CANO",3,0.506989524474839,0.388063873329326,0.32282835134996,0.364496894251703
"CANO",4,0.642977047651944,0.618356773847228,0.413631510295936,0.484248725335042
"PSME",1,1.30140941834372,1.0773246098958,0.936489493047206,0.963086016809879
"PSME",2,0.899546966245381,0.577244381816672,0.615688945889381,0.527377299507441
"PSME",3,1.02367936242786,1.04537519936356,1.06731386598619,1.09814819192471
"PSME",4,0.956265577231721,0.835776251122222,0.745754262609802,0.757168889655067
"THPL",1,2.98780483845824,2.24188736825402,1.95654762906588,1.39635074695101
"THPL",2,2.906487656088,1.70308397366568,1.60415391931521,1.22020653735315
"THPL",3,1.35085780317715,1.02668714622335,0.964080709916425,0.866436544093087
"THPL",4,3.45807599937455,4.27109531062676,2.6963574904105,1.2105416002101
"TSHE",1,2.11533590909092,2.02798954027462,1.98010831270454,1.89380104448209
"TSHE",2,2.00784649798119,1.86723986314971,1.87207827926061,1.65132103570764
"TSHE",3,1.71637842872876,1.58693341976143,1.58991371041624,1.64139297698087
"TSHE",4,2.24117516385989,2.13401422358066,2.05980009622293,1.9109091126809
"TSME",1,0.112326119461571,0.0962177792120785,0.0943806975709109,0.0813288818211867
"TSME",2,0.294153103790117,0.265871664697356,0.230757187027547,0.248533438008984
"TSME",3,0.247809163150454,0.346402667192725,0.305777378446329,0.343264437563781
"TSME",4,0.681251876224311,0.730326412041312,0.804108622773579,0.879941543690041
