"species","L1","L2","L3","L4","RR1","RR2","RR3","RR4"
"ABAM",0.49,0.19,0.31,0.15,100,100,100,100
"CANO",-0.33,-0.07,-0.84,-0.39,-100,-100,-100,-100
"PSME",-0.04,-0.12,-0.28,-0.12,0,0,0,0
"THPL",-0.43,-0.63,-0.21,-0.37,-2,-100,0,0
"TSHE",-0.11,-0.14,-0.06,-0.29,-100,-100,-100,-100
"TSME",-0.51,-0.28,-0.92,-0.31,4,-100,-100,-100
