"focal_sps","L1","L2","L3","L4","RR1","RR2","RR3","RR4"
"ABAM","Yes","Yes","Yes","Yes",100,100,100,100
"CANO","Yes","Yes","Yes","Yes",0,100,100,100
"PSME","No","Yes","Yes","Yes",100,17,52,41
"THPL","Yes","Yes","Yes","Yes",47,31,10,6
"TSHE","Yes","Yes","Yes","Yes",100,100,100,74
"TSME","Yes","Yes","Yes","Yes",0,4,4,5
